
2018-05-12 00:00:21	http://www.92uu.cc
http://www.92uu.cc	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.92uu.cc	18116	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19738
http://www.92uu.cc	19738	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19738	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19739
http://www.92uu.cc	19739	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19739	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19740
http://www.92uu.cc	19740	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19740	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19741
http://www.92uu.cc	19741	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19741	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19742
http://www.92uu.cc	19742	已发送嘎嘣脆下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19742	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19743
http://www.92uu.cc	19743	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19743	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19744
http://www.92uu.cc	19744	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19744	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19619
http://www.92uu.cc	19619	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19619	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19745
http://www.92uu.cc	19745	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19745	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19746
http://www.92uu.cc	19746	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19746	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19747
http://www.92uu.cc	19747	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19747	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19748
http://www.92uu.cc	19748	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19748	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19749
http://www.92uu.cc	19749	已发送笑笑笑下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19749	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19750
http://www.92uu.cc	19750	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19750	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19751
http://www.92uu.cc	19751	已发送发发生下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19751	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19752
http://www.92uu.cc	19752	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19752	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	18833
http://www.92uu.cc	18833	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	18833	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19753
http://www.92uu.cc	19753	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19753	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19754
http://www.92uu.cc	19754	已发送漫游乐场下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19754	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19755
http://www.92uu.cc	19755	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19755	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19756
http://www.92uu.cc	19756	已发送胡汉三下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19756	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19757
http://www.92uu.cc	19757	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19757	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19758
http://www.92uu.cc	19758	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19758	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19759
http://www.92uu.cc	19759	已发送我滴个天下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19759	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19760
http://www.92uu.cc	19760	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19760	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19761
http://www.92uu.cc	19761	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19761	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19762
http://www.92uu.cc	19762	已发送一种力量下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19762	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19763
http://www.92uu.cc	19763	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19763	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19764
http://www.92uu.cc	19764	已发送喂喂喂下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19764	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19765
http://www.92uu.cc	19765	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19765	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19766
http://www.92uu.cc	19766	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19766	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19767
http://www.92uu.cc	19767	已发送估计吃他家刚好下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19767	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19768
http://www.92uu.cc	19768	已发送返厂重修下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19768	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19091
http://www.92uu.cc	19091	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19091	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19769
http://www.92uu.cc	19769	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19769	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19770
http://www.92uu.cc	19770	已发送萝莉打底衫下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19770	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19771
http://www.92uu.cc	19771	已发送我要玩你下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19771	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19772
http://www.92uu.cc	19772	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19772	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19773
http://www.92uu.cc	19773	已发送崩塌的信仰下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19773	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19774
http://www.92uu.cc	19774	已发送啾咪下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19774	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19775
http://www.92uu.cc	19775	已发送祝供应商下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19775	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19776
http://www.92uu.cc	19776	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19776	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19777
http://www.92uu.cc	19777	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19777	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19778
http://www.92uu.cc	19778	已发送小哥哥宝宝下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19778	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19702
http://www.92uu.cc	19702	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19702	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19779
http://www.92uu.cc	19779	已发送柒柒柒下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19779	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19780
http://www.92uu.cc	19780	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19780	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19781
http://www.92uu.cc	19781	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19781	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19782
http://www.92uu.cc	19782	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19782	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19783
http://www.92uu.cc	19783	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19783	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19784
http://www.92uu.cc	19784	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19784	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19785
http://www.92uu.cc	19785	已发送九号公馆下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19785	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19786
http://www.92uu.cc	19786	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19786	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19787
http://www.92uu.cc	19787	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19787	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19788
http://www.92uu.cc	19788	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19788	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19789
http://www.92uu.cc	19789	已发送赵贵涛下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19789	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19790
http://www.92uu.cc	19790	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19790	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	18202
http://www.92uu.cc	18202	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	18202	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19791
http://www.92uu.cc	19791	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19791	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19792
http://www.92uu.cc	19792	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19792	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19793
http://www.92uu.cc	19793	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19793	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19794
http://www.92uu.cc	19794	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19794	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19795
http://www.92uu.cc	19795	已发送沙是谁下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19795	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19796
http://www.92uu.cc	19796	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19796	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19797
http://www.92uu.cc	19797	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19797	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	18103
http://www.92uu.cc	18103	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	18103	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19798
http://www.92uu.cc	19798	已发送啥时候回来啊下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19798	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19799
http://www.92uu.cc	19799	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19799	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19800
http://www.92uu.cc	19800	已发送小兔药兔下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19800	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19801
http://www.92uu.cc	19801	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19801	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19802
http://www.92uu.cc	19802	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19802	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19803
http://www.92uu.cc	19803	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19803	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19804
http://www.92uu.cc	19804	已发送萝莉下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19804	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19394
http://www.92uu.cc	19394	已发送小徐不哭下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19394	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19805
http://www.92uu.cc	19805	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19805	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	17050
http://www.92uu.cc	17050	已发送呸呸呸下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	17050	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19806
http://www.92uu.cc	19806	已发送老司机下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19806	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19807
http://www.92uu.cc	19807	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19807	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19808
http://www.92uu.cc	19808	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19808	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19286
http://www.92uu.cc	19286	已发送东莞东城下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19286	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19809
http://www.92uu.cc	19809	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19809	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19143
http://www.92uu.cc	19143	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19143	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19810
http://www.92uu.cc	19810	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19810	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19812
http://www.92uu.cc	19812	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19812	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19811
http://www.92uu.cc	19811	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19811	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19813
