
2018-04-18 12:02:12	http://www.selutang01.com
http://www.selutang01.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.selutang01.com	11034	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	7550
http://www.selutang01.com	7550	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	7550	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	7550	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	10253
http://www.selutang01.com	10253	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10253	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10253	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11619
http://www.selutang01.com	11619	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11619	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11619	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11995
http://www.selutang01.com	11995	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11995	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11995	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	10830
http://www.selutang01.com	10830	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10830	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10830	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11996
http://www.selutang01.com	11996	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11996	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11996	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	已经收听过了
http://www.selutang01.com	11997	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11997	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11997	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11682
http://www.selutang01.com	11682	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11682	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11682	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11894
http://www.selutang01.com	11894	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11894	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11894	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	8435
http://www.selutang01.com	8435	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	8435	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	8435	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	10531
http://www.selutang01.com	10531	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10531	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10531	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	12002
http://www.selutang01.com	12002	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	12002	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	12002	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11172
http://www.selutang01.com	11172	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11172	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11172	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	10999
http://www.selutang01.com	10999	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10999	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10999	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	12006
http://www.selutang01.com	12006	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	12006	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	12006	正在等待验证
http://www.selutang01.com	成功收听	5472
http://www.selutang01.com	5472	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	5472	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	5472	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	12008
http://www.selutang01.com	12008	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	12008	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	12008	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
