
2018-05-11 23:59:58	http://52yw.org
http://52yw.org	管理组：['管理员', '超级版主', '版主']
http://52yw.org	592295	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592295	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	136020
http://52yw.org	136020	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	136020	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	191666
http://52yw.org	191666	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	191666	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	91638
http://52yw.org	91638	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	91638	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	7106
http://52yw.org	7106	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	7106	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	97958
http://52yw.org	97958	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	97958	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	457156
http://52yw.org	457156	已发送世界太多不如意下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	457156	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	221929
http://52yw.org	221929	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	221929	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	552474
http://52yw.org	552474	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	245591
http://52yw.org	245591	已发送西三下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	245591	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	4518
http://52yw.org	4518	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592294	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	46843
http://52yw.org	46843	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	46843	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	588205
http://52yw.org	588205	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592291
http://52yw.org	592291	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592291	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	433046	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	433046	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	380453
http://52yw.org	380453	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	380453	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	529897
http://52yw.org	529897	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	529897	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	553675	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	553675	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	505717
http://52yw.org	505717	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	505717	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	591646
http://52yw.org	591646	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	591646	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592288
http://52yw.org	592288	已发送华子下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592288	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	575907
http://52yw.org	575907	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	575907	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	588456
http://52yw.org	588456	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	588456	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592292
http://52yw.org	592292	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592292	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	115565
http://52yw.org	115565	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	115565	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	46846
http://52yw.org	46846	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	46846	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	564
http://52yw.org	564	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	564	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	551861
http://52yw.org	551861	已发送咖喱鸡块下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	551861	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	146218
http://52yw.org	146218	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	146218	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	28340
http://52yw.org	28340	已发送鸡毛毛下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	28340	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	1482
http://52yw.org	1482	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	1482	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	555476
http://52yw.org	555476	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	555476	正在等待验证
http://52yw.org	成功收听	592289
http://52yw.org	592289	已发送胖子大王下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592289	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	562109
http://52yw.org	562109	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	562109	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	490869
http://52yw.org	490869	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	490869	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	555483
http://52yw.org	555483	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	555483	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	571286
http://52yw.org	571286	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	44023
http://52yw.org	44023	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	44023	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592286
http://52yw.org	592286	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592286	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	58791
http://52yw.org	58791	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	58791	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	553665
http://52yw.org	553665	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	553665	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	587526
http://52yw.org	587526	已发送莲趾迷迷下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	587526	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	568708
http://52yw.org	568708	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	568708	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	22392
http://52yw.org	22392	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	22392	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	590992
http://52yw.org	590992	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	590992	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592246
http://52yw.org	592246	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592246	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	471965
http://52yw.org	471965	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	471965	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	已经收听过了
http://52yw.org	471965	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	471965	正在等待验证
http://52yw.org	成功收听	592273
http://52yw.org	592273	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592273	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	567819
http://52yw.org	567819	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	567819	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	590925
http://52yw.org	590925	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	3835
http://52yw.org	3835	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	84710	已发送蜚语流下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	84710	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	572605
http://52yw.org	572605	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	572605	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	426718
http://52yw.org	426718	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	426718	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	37566
http://52yw.org	37566	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	37566	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	311274
http://52yw.org	311274	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	311274	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	143892
http://52yw.org	143892	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	143892	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	412418
http://52yw.org	412418	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	412418	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	4584
http://52yw.org	4584	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	4584	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	252775
http://52yw.org	252775	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	252775	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	248441
http://52yw.org	248441	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	248441	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	579046
http://52yw.org	579046	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	579046	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	91334
http://52yw.org	91334	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	91334	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592285
http://52yw.org	592285	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592285	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	30459
http://52yw.org	30459	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	30459	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592283
http://52yw.org	592283	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592283	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	507431
http://52yw.org	507431	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	507431	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	44116
http://52yw.org	44116	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	44116	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	530517
http://52yw.org	530517	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	530517	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592284
http://52yw.org	592284	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592284	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592276
http://52yw.org	592276	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592276	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	94881
http://52yw.org	94881	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	94881	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592282
http://52yw.org	592282	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592282	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	2296
http://52yw.org	2296	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	2296	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592281
