
2018-05-11 23:59:55	http://www.jingpinbz.com
http://www.jingpinbz.com	管理组：['管理员', '超级版主', '版主']
http://www.jingpinbz.com	成功收听	215798
http://www.jingpinbz.com	成功收听	219980
http://www.jingpinbz.com	成功收听	228819
http://www.jingpinbz.com	成功收听	222469
http://www.jingpinbz.com	成功收听	107678
http://www.jingpinbz.com	成功收听	181627
http://www.jingpinbz.com	成功收听	242053
http://www.jingpinbz.com	成功收听	236155
http://www.jingpinbz.com	成功收听	242054
http://www.jingpinbz.com	成功收听	220757
http://www.jingpinbz.com	成功收听	8021
http://www.jingpinbz.com	成功收听	81472
http://www.jingpinbz.com	成功收听	241653
http://www.jingpinbz.com	成功收听	89619
http://www.jingpinbz.com	成功收听	76265
http://www.jingpinbz.com	成功收听	226071
http://www.jingpinbz.com	成功收听	196276
http://www.jingpinbz.com	成功收听	234961
http://www.jingpinbz.com	成功收听	231492
http://www.jingpinbz.com	成功收听	242055
http://www.jingpinbz.com	成功收听	205011
http://www.jingpinbz.com	成功收听	236103
http://www.jingpinbz.com	成功收听	176427
http://www.jingpinbz.com	成功收听	240934
http://www.jingpinbz.com	成功收听	232829
http://www.jingpinbz.com	成功收听	242056
http://www.jingpinbz.com	成功收听	241152
http://www.jingpinbz.com	成功收听	87314
http://www.jingpinbz.com	成功收听	242057
http://www.jingpinbz.com	成功收听	207664
http://www.jingpinbz.com	成功收听	176991
http://www.jingpinbz.com	成功收听	242058
http://www.jingpinbz.com	成功收听	221983
http://www.jingpinbz.com	成功收听	236817
http://www.jingpinbz.com	成功收听	93945
http://www.jingpinbz.com	成功收听	92268
http://www.jingpinbz.com	成功收听	79252
http://www.jingpinbz.com	成功收听	198216
http://www.jingpinbz.com	成功收听	55595
http://www.jingpinbz.com	成功收听	242059
http://www.jingpinbz.com	成功收听	242060
http://www.jingpinbz.com	成功收听	240631
http://www.jingpinbz.com	成功收听	133688
http://www.jingpinbz.com	成功收听	11197
http://www.jingpinbz.com	成功收听	23754
http://www.jingpinbz.com	成功收听	100243
http://www.jingpinbz.com	成功收听	241875
http://www.jingpinbz.com	成功收听	177882
http://www.jingpinbz.com	成功收听	68172
http://www.jingpinbz.com	成功收听	242061
http://www.jingpinbz.com	成功收听	16402
http://www.jingpinbz.com	成功收听	193176
http://www.jingpinbz.com	成功收听	209441
http://www.jingpinbz.com	成功收听	230909
http://www.jingpinbz.com	成功收听	54815
http://www.jingpinbz.com	成功收听	238931
http://www.jingpinbz.com	成功收听	185715
http://www.jingpinbz.com	成功收听	236821
http://www.jingpinbz.com	成功收听	234940
http://www.jingpinbz.com	成功收听	227597
http://www.jingpinbz.com	成功收听	99374
http://www.jingpinbz.com	成功收听	167897
http://www.jingpinbz.com	成功收听	224359
http://www.jingpinbz.com	成功收听	222627
http://www.jingpinbz.com	成功收听	200843
http://www.jingpinbz.com	成功收听	58672
http://www.jingpinbz.com	成功收听	147600
http://www.jingpinbz.com	成功收听	64159
http://www.jingpinbz.com	成功收听	240683
http://www.jingpinbz.com	成功收听	199640
http://www.jingpinbz.com	成功收听	207932
http://www.jingpinbz.com	成功收听	242062
http://www.jingpinbz.com	成功收听	233666
http://www.jingpinbz.com	成功收听	240378
http://www.jingpinbz.com	成功收听	219651
http://www.jingpinbz.com	成功收听	241832
http://www.jingpinbz.com	成功收听	239186
http://www.jingpinbz.com	成功收听	214264
http://www.jingpinbz.com	成功收听	193038
http://www.jingpinbz.com	成功收听	232501
http://www.jingpinbz.com	成功收听	224795
http://www.jingpinbz.com	成功收听	191649
http://www.jingpinbz.com	成功收听	223681
http://www.jingpinbz.com	成功收听	211105
http://www.jingpinbz.com	成功收听	226213
http://www.jingpinbz.com	成功收听	229223
http://www.jingpinbz.com	成功收听	236276
http://www.jingpinbz.com	成功收听	242063
http://www.jingpinbz.com	成功收听	211605
http://www.jingpinbz.com	成功收听	38329
http://www.jingpinbz.com	成功收听	68265
http://www.jingpinbz.com	成功收听	242064
