
2018-05-12 00:00:13	http://www.iyw666.com
http://www.iyw666.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.iyw666.com	516	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3449
http://www.iyw666.com	3449	已发送付玉华干活下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3449	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3449	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	1108
http://www.iyw666.com	1108	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	1108	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	1108	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3386
http://www.iyw666.com	3386	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3386	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3386	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2558
http://www.iyw666.com	2558	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2558	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2558	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	419
http://www.iyw666.com	419	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	419	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	419	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	1206
http://www.iyw666.com	1206	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	1206	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	1206	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3973
http://www.iyw666.com	3973	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3973	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3973	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2054
http://www.iyw666.com	2054	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2054	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2054	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2349
http://www.iyw666.com	2349	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2349	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2349	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	1780
http://www.iyw666.com	1780	已发送小腻下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	1780	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	1780	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3827
http://www.iyw666.com	3827	已发送会飞的蜗牛下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3827	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3827	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3484
http://www.iyw666.com	3484	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3484	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3484	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3323
http://www.iyw666.com	3323	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3323	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3323	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3122
http://www.iyw666.com	3122	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3122	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3122	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3853
http://www.iyw666.com	3853	已发送群下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3853	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3853	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2726
http://www.iyw666.com	2726	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2726	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2726	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	86
http://www.iyw666.com	86	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	86	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	86	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3504
http://www.iyw666.com	3504	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3504	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3504	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
