
2018-05-11 23:59:29	http://www.52ywk.com
http://www.52ywk.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.52ywk.com	16242	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11528
http://www.52ywk.com	11528	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11528	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	2790
http://www.52ywk.com	2790	已发送真的不需要下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	2790	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16243
http://www.52ywk.com	16243	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16243	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16144
http://www.52ywk.com	16144	已发送正正正下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16144	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11814
http://www.52ywk.com	11814	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11814	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16244
http://www.52ywk.com	16244	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16244	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	10766
http://www.52ywk.com	10766	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	10766	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16245
http://www.52ywk.com	16245	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16245	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	15950
http://www.52ywk.com	15950	已发送嘎下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	15950	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13562
http://www.52ywk.com	13562	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13562	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11860
http://www.52ywk.com	11860	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11860	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16246
http://www.52ywk.com	16246	已发送上善若水下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16246	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13577
http://www.52ywk.com	13577	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13577	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13568
http://www.52ywk.com	13568	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13568	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13554
http://www.52ywk.com	13554	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13554	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13538
http://www.52ywk.com	13538	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13538	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16247
http://www.52ywk.com	16247	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16247	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	12533
http://www.52ywk.com	12533	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	12533	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11837
http://www.52ywk.com	11837	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11837	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16248
http://www.52ywk.com	16248	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16248	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11077
http://www.52ywk.com	11077	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11077	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	11223
http://www.52ywk.com	11223	已发送千凼下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	11223	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	13688
http://www.52ywk.com	13688	已发送郭原下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	13688	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16249
http://www.52ywk.com	16249	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16249	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16220
http://www.52ywk.com	16220	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16220	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16250
http://www.52ywk.com	16250	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16250	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16251
http://www.52ywk.com	16251	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16251	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	12963
http://www.52ywk.com	12963	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	12963	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	12071
http://www.52ywk.com	12071	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	12071	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1088
http://www.52ywk.com	1088	已发送病娇美男下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1088	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16176
http://www.52ywk.com	16176	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16176	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1096
http://www.52ywk.com	1096	已发送幽殤下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1096	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1092
http://www.52ywk.com	1092	已发送心海下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1092	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1138
http://www.52ywk.com	1138	已发送后来下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1138	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1010
http://www.52ywk.com	1010	已发送冰纨下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1010	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16252
http://www.52ywk.com	16252	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16252	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16221
http://www.52ywk.com	16221	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16221	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	12622
http://www.52ywk.com	12622	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	12622	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16253
http://www.52ywk.com	16253	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16253	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1602
http://www.52ywk.com	1602	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1602	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16254
http://www.52ywk.com	16254	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16254	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16255
http://www.52ywk.com	16255	已发送凤琴我爱你下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16255	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16256
http://www.52ywk.com	16256	已发送我爱原味罩罩下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16256	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	15202
http://www.52ywk.com	15202	已发送群下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	15202	无任何返回结果，大多数情况下为发送成功
http://www.52ywk.com	成功收听	16257
http://www.52ywk.com	16257	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16257	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	1761
http://www.52ywk.com	1761	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	1761	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16258
http://www.52ywk.com	16258	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16258	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	12544
http://www.52ywk.com	12544	已发送我有大香蕉下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	12544	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	成功收听	16072
http://www.52ywk.com	16072	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.52ywk.com	16072	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
