
2018-04-18 11:54:33	http://woaipuyou.com
http://woaipuyou.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://woaipuyou.com	成功收听	24068
http://woaipuyou.com	24068	已发送璨馑琳下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	24068	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	24068	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	37149
http://woaipuyou.com	37149	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	37149	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	37149	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39691
http://woaipuyou.com	39691	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39691	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39691	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39540
http://woaipuyou.com	39540	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39540	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39540	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	23256
http://woaipuyou.com	23256	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39812
http://woaipuyou.com	39812	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39812	无任何返回结果，大多数情况下为发送成功
