
2018-05-11 23:58:38	http://bbs.seikuu.com
http://bbs.seikuu.com	管理组：['管理员', '超级版主', '版主']
http://bbs.seikuu.com	成功收听	293172
http://bbs.seikuu.com	成功收听	344145
http://bbs.seikuu.com	成功收听	287912
http://bbs.seikuu.com	成功收听	344143
http://bbs.seikuu.com	成功收听	275801
http://bbs.seikuu.com	成功收听	318049
http://bbs.seikuu.com	成功收听	341625
http://bbs.seikuu.com	成功收听	336265
http://bbs.seikuu.com	成功收听	332418
http://bbs.seikuu.com	成功收听	342709
http://bbs.seikuu.com	成功收听	341517
http://bbs.seikuu.com	成功收听	316597
http://bbs.seikuu.com	成功收听	252017
http://bbs.seikuu.com	成功收听	340311
http://bbs.seikuu.com	成功收听	262719
http://bbs.seikuu.com	成功收听	245901
http://bbs.seikuu.com	成功收听	304912
http://bbs.seikuu.com	成功收听	293804
http://bbs.seikuu.com	成功收听	261831
http://bbs.seikuu.com	成功收听	39238
http://bbs.seikuu.com	成功收听	344115
http://bbs.seikuu.com	成功收听	20945
http://bbs.seikuu.com	成功收听	327141
http://bbs.seikuu.com	成功收听	261676
http://bbs.seikuu.com	成功收听	80710
http://bbs.seikuu.com	成功收听	314532
http://bbs.seikuu.com	成功收听	344037
http://bbs.seikuu.com	成功收听	313895
http://bbs.seikuu.com	成功收听	313598
http://bbs.seikuu.com	成功收听	342591
http://bbs.seikuu.com	成功收听	301317
http://bbs.seikuu.com	成功收听	268134
http://bbs.seikuu.com	成功收听	298522
http://bbs.seikuu.com	成功收听	332656
http://bbs.seikuu.com	成功收听	310252
http://bbs.seikuu.com	成功收听	344124
http://bbs.seikuu.com	成功收听	243448
http://bbs.seikuu.com	成功收听	34757
http://bbs.seikuu.com	成功收听	61592
http://bbs.seikuu.com	成功收听	193613
http://bbs.seikuu.com	成功收听	328443
http://bbs.seikuu.com	成功收听	270855
http://bbs.seikuu.com	成功收听	264892
http://bbs.seikuu.com	成功收听	221578
http://bbs.seikuu.com	成功收听	204
http://bbs.seikuu.com	成功收听	343699
http://bbs.seikuu.com	成功收听	344149
http://bbs.seikuu.com	成功收听	234840
http://bbs.seikuu.com	成功收听	293160
http://bbs.seikuu.com	成功收听	226620
http://bbs.seikuu.com	成功收听	243373
http://bbs.seikuu.com	成功收听	301016
http://bbs.seikuu.com	成功收听	311128
http://bbs.seikuu.com	成功收听	30391
http://bbs.seikuu.com	成功收听	342766
http://bbs.seikuu.com	成功收听	29077
http://bbs.seikuu.com	成功收听	310530
http://bbs.seikuu.com	成功收听	323014
http://bbs.seikuu.com	成功收听	332235
http://bbs.seikuu.com	成功收听	84159
http://bbs.seikuu.com	成功收听	288001
http://bbs.seikuu.com	成功收听	327554
http://bbs.seikuu.com	成功收听	163638
http://bbs.seikuu.com	成功收听	344153
http://bbs.seikuu.com	成功收听	323032
http://bbs.seikuu.com	成功收听	40545
http://bbs.seikuu.com	成功收听	263848
http://bbs.seikuu.com	成功收听	38754
http://bbs.seikuu.com	成功收听	344152
http://bbs.seikuu.com	成功收听	330190
http://bbs.seikuu.com	成功收听	329440
http://bbs.seikuu.com	成功收听	290944
http://bbs.seikuu.com	成功收听	309321
http://bbs.seikuu.com	成功收听	222836
http://bbs.seikuu.com	成功收听	254100
http://bbs.seikuu.com	成功收听	314647
http://bbs.seikuu.com	成功收听	336546
http://bbs.seikuu.com	成功收听	305807
http://bbs.seikuu.com	成功收听	260209
http://bbs.seikuu.com	成功收听	263364
http://bbs.seikuu.com	成功收听	280399
http://bbs.seikuu.com	成功收听	229764
http://bbs.seikuu.com	成功收听	279543
http://bbs.seikuu.com	成功收听	317200
http://bbs.seikuu.com	成功收听	258791
http://bbs.seikuu.com	成功收听	261369
http://bbs.seikuu.com	成功收听	329324
http://bbs.seikuu.com	成功收听	341585
http://bbs.seikuu.com	成功收听	343020
http://bbs.seikuu.com	成功收听	335637
http://bbs.seikuu.com	成功收听	303702
http://bbs.seikuu.com	成功收听	290798
http://bbs.seikuu.com	成功收听	327791
http://bbs.seikuu.com	成功收听	335890
http://bbs.seikuu.com	成功收听	339230
http://bbs.seikuu.com	成功收听	313265
http://bbs.seikuu.com	成功收听	339365
http://bbs.seikuu.com	成功收听	290
http://bbs.seikuu.com	成功收听	241161
http://bbs.seikuu.com	成功收听	250130
http://bbs.seikuu.com	成功收听	318335
http://bbs.seikuu.com	成功收听	320965
http://bbs.seikuu.com	成功收听	310613
http://bbs.seikuu.com	成功收听	228662
http://bbs.seikuu.com	成功收听	328883
http://bbs.seikuu.com	成功收听	301151
http://bbs.seikuu.com	成功收听	176570
http://bbs.seikuu.com	成功收听	310784
http://bbs.seikuu.com	成功收听	300281
http://bbs.seikuu.com	成功收听	121707
http://bbs.seikuu.com	成功收听	29277
http://bbs.seikuu.com	成功收听	247030
http://bbs.seikuu.com	成功收听	174040
http://bbs.seikuu.com	成功收听	344109
http://bbs.seikuu.com	成功收听	339733
http://bbs.seikuu.com	成功收听	257515
http://bbs.seikuu.com	成功收听	334541
http://bbs.seikuu.com	成功收听	309037
http://bbs.seikuu.com	成功收听	17475
http://bbs.seikuu.com	成功收听	344150
http://bbs.seikuu.com	成功收听	339647
http://bbs.seikuu.com	成功收听	269736
http://bbs.seikuu.com	成功收听	344138
http://bbs.seikuu.com	成功收听	315470
http://bbs.seikuu.com	成功收听	342118
http://bbs.seikuu.com	成功收听	339527
http://bbs.seikuu.com	成功收听	4782
http://bbs.seikuu.com	成功收听	59412
http://bbs.seikuu.com	成功收听	276697
http://bbs.seikuu.com	成功收听	342762
http://bbs.seikuu.com	成功收听	301230
http://bbs.seikuu.com	成功收听	21483
http://bbs.seikuu.com	成功收听	324741
http://bbs.seikuu.com	成功收听	273093
http://bbs.seikuu.com	成功收听	328339
http://bbs.seikuu.com	成功收听	314684
http://bbs.seikuu.com	成功收听	340138
http://bbs.seikuu.com	成功收听	328401
http://bbs.seikuu.com	成功收听	300671
http://bbs.seikuu.com	成功收听	152591
http://bbs.seikuu.com	成功收听	327338
http://bbs.seikuu.com	成功收听	222285
http://bbs.seikuu.com	成功收听	316530
http://bbs.seikuu.com	成功收听	275284
http://bbs.seikuu.com	成功收听	340576
http://bbs.seikuu.com	成功收听	344151
http://bbs.seikuu.com	成功收听	302757
http://bbs.seikuu.com	成功收听	256044
http://bbs.seikuu.com	成功收听	299693
http://bbs.seikuu.com	成功收听	338504
http://bbs.seikuu.com	成功收听	328664
http://bbs.seikuu.com	成功收听	248441
http://bbs.seikuu.com	成功收听	250558
http://bbs.seikuu.com	成功收听	31734
http://bbs.seikuu.com	成功收听	265431
http://bbs.seikuu.com	成功收听	261339
http://bbs.seikuu.com	成功收听	326592
http://bbs.seikuu.com	成功收听	268839
http://bbs.seikuu.com	成功收听	286544
http://bbs.seikuu.com	成功收听	229640
http://bbs.seikuu.com	成功收听	248719
http://bbs.seikuu.com	已经收听过了
http://bbs.seikuu.com	成功收听	153160
http://bbs.seikuu.com	成功收听	338222
http://bbs.seikuu.com	成功收听	321156
http://bbs.seikuu.com	成功收听	340699
http://bbs.seikuu.com	成功收听	310612
http://bbs.seikuu.com	成功收听	266012
http://bbs.seikuu.com	成功收听	344154
http://bbs.seikuu.com	成功收听	282245
http://bbs.seikuu.com	成功收听	315824
http://bbs.seikuu.com	成功收听	309997
http://bbs.seikuu.com	成功收听	30548
http://bbs.seikuu.com	成功收听	223751
http://bbs.seikuu.com	成功收听	228378
http://bbs.seikuu.com	成功收听	305002
http://bbs.seikuu.com	成功收听	327125
http://bbs.seikuu.com	成功收听	284453
http://bbs.seikuu.com	成功收听	302579
http://bbs.seikuu.com	成功收听	300816
http://bbs.seikuu.com	成功收听	327106
http://bbs.seikuu.com	成功收听	277782
http://bbs.seikuu.com	成功收听	331290
http://bbs.seikuu.com	成功收听	307143
http://bbs.seikuu.com	成功收听	293873
http://bbs.seikuu.com	成功收听	242617
http://bbs.seikuu.com	成功收听	256797
http://bbs.seikuu.com	成功收听	310901
http://bbs.seikuu.com	成功收听	309119
http://bbs.seikuu.com	成功收听	279476
http://bbs.seikuu.com	成功收听	293213
http://bbs.seikuu.com	成功收听	318431
http://bbs.seikuu.com	成功收听	278642
http://bbs.seikuu.com	成功收听	290112
http://bbs.seikuu.com	成功收听	46940
http://bbs.seikuu.com	成功收听	282412
http://bbs.seikuu.com	成功收听	256299
http://bbs.seikuu.com	成功收听	317769
http://bbs.seikuu.com	成功收听	287909
http://bbs.seikuu.com	成功收听	296672
http://bbs.seikuu.com	成功收听	302964
http://bbs.seikuu.com	成功收听	343535
http://bbs.seikuu.com	成功收听	285856
http://bbs.seikuu.com	成功收听	261240
http://bbs.seikuu.com	成功收听	328380
http://bbs.seikuu.com	成功收听	238983
http://bbs.seikuu.com	成功收听	323193
http://bbs.seikuu.com	成功收听	331517
http://bbs.seikuu.com	成功收听	297144
http://bbs.seikuu.com	成功收听	273841
http://bbs.seikuu.com	成功收听	327799
http://bbs.seikuu.com	成功收听	289689
http://bbs.seikuu.com	成功收听	344155
http://bbs.seikuu.com	成功收听	327547
http://bbs.seikuu.com	成功收听	52888
http://bbs.seikuu.com	成功收听	343403
http://bbs.seikuu.com	成功收听	118729
http://bbs.seikuu.com	成功收听	330337
http://bbs.seikuu.com	成功收听	233261
http://bbs.seikuu.com	成功收听	341077
http://bbs.seikuu.com	成功收听	313233
http://bbs.seikuu.com	成功收听	333368
http://bbs.seikuu.com	成功收听	204269
http://bbs.seikuu.com	成功收听	339731
http://bbs.seikuu.com	成功收听	343431
http://bbs.seikuu.com	成功收听	253420
http://bbs.seikuu.com	成功收听	298025
http://bbs.seikuu.com	成功收听	340379
http://bbs.seikuu.com	成功收听	226712
http://bbs.seikuu.com	成功收听	242155
http://bbs.seikuu.com	成功收听	20638
http://bbs.seikuu.com	成功收听	107117
http://bbs.seikuu.com	成功收听	249140
http://bbs.seikuu.com	成功收听	293756
http://bbs.seikuu.com	成功收听	37943
http://bbs.seikuu.com	成功收听	327312
http://bbs.seikuu.com	成功收听	300575
http://bbs.seikuu.com	成功收听	304245
http://bbs.seikuu.com	成功收听	126140
http://bbs.seikuu.com	成功收听	228092
http://bbs.seikuu.com	成功收听	101536
http://bbs.seikuu.com	成功收听	327761
http://bbs.seikuu.com	成功收听	296093
http://bbs.seikuu.com	成功收听	245656
http://bbs.seikuu.com	成功收听	335125
http://bbs.seikuu.com	成功收听	262416
http://bbs.seikuu.com	成功收听	33414
http://bbs.seikuu.com	成功收听	296159
http://bbs.seikuu.com	成功收听	313952
http://bbs.seikuu.com	成功收听	198324
http://bbs.seikuu.com	成功收听	309631
http://bbs.seikuu.com	成功收听	321651
http://bbs.seikuu.com	成功收听	251701
http://bbs.seikuu.com	成功收听	298529
http://bbs.seikuu.com	成功收听	43492
http://bbs.seikuu.com	成功收听	248588
http://bbs.seikuu.com	成功收听	103531
http://bbs.seikuu.com	成功收听	341947
http://bbs.seikuu.com	成功收听	287203
http://bbs.seikuu.com	成功收听	331351
http://bbs.seikuu.com	成功收听	335821
http://bbs.seikuu.com	成功收听	297610
http://bbs.seikuu.com	成功收听	338538
http://bbs.seikuu.com	成功收听	343932
http://bbs.seikuu.com	成功收听	207767
http://bbs.seikuu.com	成功收听	344072
http://bbs.seikuu.com	成功收听	303105
http://bbs.seikuu.com	成功收听	344045
http://bbs.seikuu.com	已经收听过了
http://bbs.seikuu.com	成功收听	304344
http://bbs.seikuu.com	成功收听	95259
http://bbs.seikuu.com	成功收听	317641
http://bbs.seikuu.com	成功收听	322089
http://bbs.seikuu.com	成功收听	230017
http://bbs.seikuu.com	成功收听	315474
http://bbs.seikuu.com	成功收听	326532
http://bbs.seikuu.com	成功收听	302079
http://bbs.seikuu.com	成功收听	297479
http://bbs.seikuu.com	成功收听	337668
http://bbs.seikuu.com	成功收听	304983
http://bbs.seikuu.com	成功收听	307692
http://bbs.seikuu.com	成功收听	245598
http://bbs.seikuu.com	成功收听	286138
http://bbs.seikuu.com	成功收听	294705
http://bbs.seikuu.com	成功收听	281688
http://bbs.seikuu.com	成功收听	344156
http://bbs.seikuu.com	成功收听	228870
http://bbs.seikuu.com	成功收听	292247
http://bbs.seikuu.com	成功收听	237410
http://bbs.seikuu.com	成功收听	244608
http://bbs.seikuu.com	成功收听	299971
http://bbs.seikuu.com	成功收听	343809
http://bbs.seikuu.com	成功收听	300932
http://bbs.seikuu.com	成功收听	244977
http://bbs.seikuu.com	成功收听	297986
http://bbs.seikuu.com	成功收听	304833
http://bbs.seikuu.com	成功收听	261258
http://bbs.seikuu.com	成功收听	265816
http://bbs.seikuu.com	成功收听	118444
http://bbs.seikuu.com	成功收听	239795
http://bbs.seikuu.com	已经收听过了
http://bbs.seikuu.com	已经收听过了
http://bbs.seikuu.com	成功收听	294818
http://bbs.seikuu.com	成功收听	344020
http://bbs.seikuu.com	成功收听	251536
http://bbs.seikuu.com	成功收听	28792
http://bbs.seikuu.com	成功收听	334249
http://bbs.seikuu.com	成功收听	326445
http://bbs.seikuu.com	成功收听	341332
http://bbs.seikuu.com	成功收听	218043
http://bbs.seikuu.com	成功收听	284534
http://bbs.seikuu.com	成功收听	288687
http://bbs.seikuu.com	成功收听	296495
http://bbs.seikuu.com	成功收听	309609
http://bbs.seikuu.com	成功收听	301927
http://bbs.seikuu.com	成功收听	307366
http://bbs.seikuu.com	成功收听	320755
http://bbs.seikuu.com	成功收听	308857
http://bbs.seikuu.com	成功收听	335464
http://bbs.seikuu.com	成功收听	322814
http://bbs.seikuu.com	成功收听	259991
http://bbs.seikuu.com	成功收听	259680
http://bbs.seikuu.com	成功收听	321267
http://bbs.seikuu.com	成功收听	119164
http://bbs.seikuu.com	成功收听	251997
http://bbs.seikuu.com	成功收听	326660
http://bbs.seikuu.com	成功收听	322602
http://bbs.seikuu.com	成功收听	307120
http://bbs.seikuu.com	成功收听	143797
http://bbs.seikuu.com	成功收听	316541
http://bbs.seikuu.com	成功收听	129376
http://bbs.seikuu.com	成功收听	338204
http://bbs.seikuu.com	成功收听	344158
http://bbs.seikuu.com	成功收听	94882
http://bbs.seikuu.com	成功收听	343730
http://bbs.seikuu.com	成功收听	306846
http://bbs.seikuu.com	成功收听	24431
http://bbs.seikuu.com	成功收听	344159
http://bbs.seikuu.com	成功收听	278780
http://bbs.seikuu.com	成功收听	234625
http://bbs.seikuu.com	成功收听	320066
http://bbs.seikuu.com	成功收听	318226
http://bbs.seikuu.com	成功收听	71692
http://bbs.seikuu.com	成功收听	341519
http://bbs.seikuu.com	成功收听	122537
http://bbs.seikuu.com	成功收听	341269
http://bbs.seikuu.com	成功收听	341642
http://bbs.seikuu.com	成功收听	222238
http://bbs.seikuu.com	成功收听	269689
http://bbs.seikuu.com	成功收听	344157
http://bbs.seikuu.com	成功收听	234553
http://bbs.seikuu.com	成功收听	329043
http://bbs.seikuu.com	成功收听	335188
http://bbs.seikuu.com	成功收听	339765
http://bbs.seikuu.com	成功收听	307727
http://bbs.seikuu.com	成功收听	320569
http://bbs.seikuu.com	成功收听	331513
http://bbs.seikuu.com	成功收听	323666
http://bbs.seikuu.com	成功收听	262105
http://bbs.seikuu.com	成功收听	237281
http://bbs.seikuu.com	成功收听	225857
http://bbs.seikuu.com	成功收听	314040
http://bbs.seikuu.com	成功收听	327394
http://bbs.seikuu.com	成功收听	338218
http://bbs.seikuu.com	成功收听	325415
http://bbs.seikuu.com	成功收听	344160
