
2018-04-18 12:01:10	http://www.qingloubb.com
http://www.qingloubb.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.qingloubb.com	383791	正在等待验证
http://www.qingloubb.com	383790	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383790	正在等待验证
http://www.qingloubb.com	383789	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383789	正在等待验证
http://www.qingloubb.com	383788	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383788	正在等待验证
http://www.qingloubb.com	383787	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383787	正在等待验证
http://www.qingloubb.com	383786	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383786	正在等待验证
http://www.qingloubb.com	383785	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383785	正在等待验证
http://www.qingloubb.com	383784	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383784	正在等待验证
http://www.qingloubb.com	383783	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383783	正在等待验证
http://www.qingloubb.com	383782	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383782	正在等待验证
http://www.qingloubb.com	383781	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383781	正在等待验证
http://www.qingloubb.com	383780	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383780	正在等待验证
http://www.qingloubb.com	383805	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383805	正在等待验证
http://www.qingloubb.com	383804	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383804	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383803	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383803	正在等待验证
http://www.qingloubb.com	383802	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383802	正在等待验证
http://www.qingloubb.com	383801	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383801	正在等待验证
http://www.qingloubb.com	383800	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383800	正在等待验证
http://www.qingloubb.com	383799	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383799	正在等待验证
http://www.qingloubb.com	383798	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383798	正在等待验证
http://www.qingloubb.com	383797	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383797	正在等待验证
http://www.qingloubb.com	383796	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383796	正在等待验证
http://www.qingloubb.com	383795	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383795	正在等待验证
http://www.qingloubb.com	383794	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383794	正在等待验证
http://www.qingloubb.com	383793	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383793	正在等待验证
http://www.qingloubb.com	383792	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383792	正在等待验证
http://www.qingloubb.com	383791	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383791	正在等待验证
http://www.qingloubb.com	383790	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383790	正在等待验证
http://www.qingloubb.com	383789	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383789	正在等待验证
http://www.qingloubb.com	383788	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383788	正在等待验证
http://www.qingloubb.com	383787	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383787	正在等待验证
http://www.qingloubb.com	383786	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383786	正在等待验证
http://www.qingloubb.com	383785	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383785	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383813	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383813	正在等待验证
http://www.qingloubb.com	383812	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383812	正在等待验证
http://www.qingloubb.com	383811	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383811	正在等待验证
http://www.qingloubb.com	383809	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383809	正在等待验证
http://www.qingloubb.com	383810	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383810	正在等待验证
http://www.qingloubb.com	383808	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383808	正在等待验证
http://www.qingloubb.com	383807	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383807	正在等待验证
http://www.qingloubb.com	383805	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383805	正在等待验证
http://www.qingloubb.com	383804	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383804	正在等待验证
http://www.qingloubb.com	383803	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383803	正在等待验证
http://www.qingloubb.com	383802	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383802	正在等待验证
http://www.qingloubb.com	383801	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383801	正在等待验证
http://www.qingloubb.com	383800	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383800	正在等待验证
http://www.qingloubb.com	383799	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383799	正在等待验证
http://www.qingloubb.com	383798	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383798	正在等待验证
http://www.qingloubb.com	383797	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383797	正在等待验证
http://www.qingloubb.com	383796	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383796	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383813	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383813	正在等待验证
http://www.qingloubb.com	383812	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383812	正在等待验证
http://www.qingloubb.com	383811	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383811	正在等待验证
http://www.qingloubb.com	383809	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383809	正在等待验证
http://www.qingloubb.com	383810	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383810	正在等待验证
http://www.qingloubb.com	383808	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383808	正在等待验证
http://www.qingloubb.com	383807	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383807	正在等待验证
http://www.qingloubb.com	383806	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383806	正在等待验证
http://www.qingloubb.com	383805	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383805	正在等待验证
http://www.qingloubb.com	383804	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383804	正在等待验证
http://www.qingloubb.com	383803	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383803	正在等待验证
http://www.qingloubb.com	383802	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383802	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383813	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383813	正在等待验证
http://www.qingloubb.com	383812	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383812	正在等待验证
http://www.qingloubb.com	383811	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383811	正在等待验证
http://www.qingloubb.com	383809	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383809	正在等待验证
http://www.qingloubb.com	383810	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383810	正在等待验证
http://www.qingloubb.com	383808	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383808	正在等待验证
http://www.qingloubb.com	383807	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383807	正在等待验证
http://www.qingloubb.com	383806	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383806	正在等待验证
http://www.qingloubb.com	383805	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383805	正在等待验证
http://www.qingloubb.com	383804	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383804	正在等待验证
http://www.qingloubb.com	383829	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383829	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383828	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383828	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383827	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383827	正在等待验证
http://www.qingloubb.com	383826	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383826	正在等待验证
http://www.qingloubb.com	383825	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383825	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383813	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383813	正在等待验证
http://www.qingloubb.com	383812	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383812	正在等待验证
http://www.qingloubb.com	383811	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383811	正在等待验证
http://www.qingloubb.com	383809	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383809	正在等待验证
http://www.qingloubb.com	383810	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383810	正在等待验证
http://www.qingloubb.com	383808	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383808	正在等待验证
http://www.qingloubb.com	383807	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383807	正在等待验证
http://www.qingloubb.com	383806	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383806	正在等待验证
http://www.qingloubb.com	383831	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383831	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383830	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383830	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383829	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383829	正在等待验证
http://www.qingloubb.com	383828	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383828	正在等待验证
http://www.qingloubb.com	383827	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383827	正在等待验证
http://www.qingloubb.com	383826	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383826	正在等待验证
http://www.qingloubb.com	383825	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383825	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383813	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383813	正在等待验证
http://www.qingloubb.com	383812	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383812	正在等待验证
http://www.qingloubb.com	383811	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383811	正在等待验证
http://www.qingloubb.com	383809	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383809	正在等待验证
http://www.qingloubb.com	383810	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383810	正在等待验证
http://www.qingloubb.com	383834	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383834	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383833	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383833	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383832	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383832	正在等待验证
http://www.qingloubb.com	383831	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383831	正在等待验证
http://www.qingloubb.com	383830	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383830	正在等待验证
http://www.qingloubb.com	383829	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383829	正在等待验证
http://www.qingloubb.com	383828	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383828	正在等待验证
http://www.qingloubb.com	383827	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383827	正在等待验证
http://www.qingloubb.com	383826	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383826	正在等待验证
http://www.qingloubb.com	383825	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383825	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383816	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383816	正在等待验证
http://www.qingloubb.com	383815	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383815	正在等待验证
http://www.qingloubb.com	383814	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383814	正在等待验证
http://www.qingloubb.com	383835	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383835	正在等待验证
http://www.qingloubb.com	383834	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383834	正在等待验证
http://www.qingloubb.com	383833	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383833	正在等待验证
http://www.qingloubb.com	383832	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383832	正在等待验证
http://www.qingloubb.com	383831	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383831	正在等待验证
http://www.qingloubb.com	383830	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383830	正在等待验证
http://www.qingloubb.com	383829	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383829	正在等待验证
http://www.qingloubb.com	383828	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383828	正在等待验证
http://www.qingloubb.com	383827	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383827	正在等待验证
http://www.qingloubb.com	383826	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383826	正在等待验证
http://www.qingloubb.com	383825	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383825	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383818	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383818	正在等待验证
http://www.qingloubb.com	383817	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383817	正在等待验证
http://www.qingloubb.com	383840	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383840	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383839	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383839	正在等待验证
http://www.qingloubb.com	383837	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383837	正在等待验证
http://www.qingloubb.com	383838	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383838	正在等待验证
http://www.qingloubb.com	383836	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383836	正在等待验证
http://www.qingloubb.com	383835	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383835	正在等待验证
http://www.qingloubb.com	383834	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383834	正在等待验证
http://www.qingloubb.com	383833	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383833	正在等待验证
http://www.qingloubb.com	383832	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383832	正在等待验证
http://www.qingloubb.com	383831	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383831	正在等待验证
http://www.qingloubb.com	383830	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383830	正在等待验证
http://www.qingloubb.com	383829	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383829	正在等待验证
http://www.qingloubb.com	383828	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383828	正在等待验证
http://www.qingloubb.com	383827	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383827	正在等待验证
http://www.qingloubb.com	383826	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383826	正在等待验证
http://www.qingloubb.com	383825	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383825	正在等待验证
http://www.qingloubb.com	383824	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383824	正在等待验证
http://www.qingloubb.com	383823	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383823	正在等待验证
http://www.qingloubb.com	383822	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383822	正在等待验证
http://www.qingloubb.com	383821	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383821	正在等待验证
http://www.qingloubb.com	383820	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383820	正在等待验证
http://www.qingloubb.com	383819	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383819	正在等待验证
http://www.qingloubb.com	383844	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383844	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.qingloubb.com	383843	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383843	正在等待验证
http://www.qingloubb.com	383842	无任何返回结果，大多数情况下为发送成功
http://www.qingloubb.com	383842	正在等待验证
http://www.qingloubb.com	383841	无任何返回结果，大多数情况下为发送成功
