
2018-05-11 23:58:33	http://bbs.78dm.net
http://bbs.78dm.net	管理组：['管理员', '超级版主', '版主']
http://bbs.78dm.net	成功收听	54786
http://bbs.78dm.net	成功收听	4985633
http://bbs.78dm.net	成功收听	4847466
http://bbs.78dm.net	成功收听	51157
http://bbs.78dm.net	成功收听	3801205
http://bbs.78dm.net	成功收听	29661
http://bbs.78dm.net	成功收听	197657
http://bbs.78dm.net	成功收听	49488
http://bbs.78dm.net	成功收听	3721592
http://bbs.78dm.net	成功收听	13021
http://bbs.78dm.net	成功收听	3578288
http://bbs.78dm.net	成功收听	302386
http://bbs.78dm.net	成功收听	419509
http://bbs.78dm.net	成功收听	182085
http://bbs.78dm.net	成功收听	5174568
http://bbs.78dm.net	成功收听	3622370
http://bbs.78dm.net	成功收听	3844764
http://bbs.78dm.net	成功收听	239345
http://bbs.78dm.net	成功收听	5073431
http://bbs.78dm.net	成功收听	200
http://bbs.78dm.net	成功收听	95339
http://bbs.78dm.net	成功收听	5169974
http://bbs.78dm.net	成功收听	5174278
http://bbs.78dm.net	成功收听	3677940
http://bbs.78dm.net	成功收听	3276179
http://bbs.78dm.net	成功收听	186073
http://bbs.78dm.net	成功收听	3214180
http://bbs.78dm.net	成功收听	3136937
http://bbs.78dm.net	成功收听	25788
http://bbs.78dm.net	成功收听	3787733
http://bbs.78dm.net	成功收听	50989
http://bbs.78dm.net	成功收听	30290
http://bbs.78dm.net	成功收听	5088112
http://bbs.78dm.net	成功收听	49286
http://bbs.78dm.net	成功收听	3687395
http://bbs.78dm.net	成功收听	5174565
http://bbs.78dm.net	成功收听	4826163
http://bbs.78dm.net	成功收听	5170690
http://bbs.78dm.net	成功收听	4853001
http://bbs.78dm.net	成功收听	5149991
http://bbs.78dm.net	成功收听	5091539
http://bbs.78dm.net	成功收听	123896
http://bbs.78dm.net	成功收听	5163167
http://bbs.78dm.net	成功收听	5143680
http://bbs.78dm.net	成功收听	5043416
http://bbs.78dm.net	成功收听	168895
http://bbs.78dm.net	成功收听	331958
http://bbs.78dm.net	成功收听	426928
http://bbs.78dm.net	成功收听	5098004
http://bbs.78dm.net	成功收听	3353388
http://bbs.78dm.net	成功收听	5174684
http://bbs.78dm.net	成功收听	119109
http://bbs.78dm.net	成功收听	5109556
http://bbs.78dm.net	成功收听	5170791
http://bbs.78dm.net	成功收听	55268
http://bbs.78dm.net	成功收听	3178686
http://bbs.78dm.net	成功收听	5148248
http://bbs.78dm.net	成功收听	5143400
http://bbs.78dm.net	成功收听	5058409
http://bbs.78dm.net	成功收听	3398745
http://bbs.78dm.net	成功收听	5174686
http://bbs.78dm.net	成功收听	5172363
http://bbs.78dm.net	成功收听	5145274
http://bbs.78dm.net	成功收听	5174115
http://bbs.78dm.net	成功收听	5132586
http://bbs.78dm.net	成功收听	454782
http://bbs.78dm.net	成功收听	3138699
http://bbs.78dm.net	成功收听	855051
http://bbs.78dm.net	成功收听	5109888
http://bbs.78dm.net	成功收听	5075453
http://bbs.78dm.net	成功收听	5129523
http://bbs.78dm.net	成功收听	144149
http://bbs.78dm.net	成功收听	3164227
http://bbs.78dm.net	成功收听	120335
http://bbs.78dm.net	成功收听	5152166
http://bbs.78dm.net	成功收听	5174685
http://bbs.78dm.net	成功收听	35470
http://bbs.78dm.net	成功收听	175417
http://bbs.78dm.net	成功收听	2049870
http://bbs.78dm.net	成功收听	311878
http://bbs.78dm.net	成功收听	3420814
http://bbs.78dm.net	成功收听	698721
http://bbs.78dm.net	成功收听	3845118
http://bbs.78dm.net	成功收听	5173309
http://bbs.78dm.net	成功收听	5173306
http://bbs.78dm.net	成功收听	356569
http://bbs.78dm.net	成功收听	3441837
http://bbs.78dm.net	成功收听	5171208
http://bbs.78dm.net	成功收听	5065835
http://bbs.78dm.net	成功收听	40482
http://bbs.78dm.net	成功收听	5104558
http://bbs.78dm.net	成功收听	5148044
http://bbs.78dm.net	成功收听	5089554
http://bbs.78dm.net	成功收听	3330355
http://bbs.78dm.net	成功收听	724254
http://bbs.78dm.net	成功收听	40162
http://bbs.78dm.net	成功收听	5109984
http://bbs.78dm.net	成功收听	5173293
http://bbs.78dm.net	成功收听	3596561
http://bbs.78dm.net	成功收听	467418
http://bbs.78dm.net	成功收听	190390
http://bbs.78dm.net	成功收听	3292478
http://bbs.78dm.net	成功收听	288373
http://bbs.78dm.net	成功收听	5090901
http://bbs.78dm.net	成功收听	5174691
http://bbs.78dm.net	成功收听	136523
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	成功收听	5046702
http://bbs.78dm.net	成功收听	5127325
http://bbs.78dm.net	成功收听	4758373
http://bbs.78dm.net	成功收听	50510
http://bbs.78dm.net	成功收听	3823722
http://bbs.78dm.net	成功收听	576291
http://bbs.78dm.net	成功收听	5050649
http://bbs.78dm.net	成功收听	5174690
http://bbs.78dm.net	成功收听	321086
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	成功收听	3650704
http://bbs.78dm.net	成功收听	5002106
http://bbs.78dm.net	成功收听	5142978
http://bbs.78dm.net	成功收听	378435
http://bbs.78dm.net	成功收听	5130454
http://bbs.78dm.net	成功收听	5159646
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	成功收听	3681443
http://bbs.78dm.net	成功收听	2564952
http://bbs.78dm.net	成功收听	32643
http://bbs.78dm.net	成功收听	2831564
http://bbs.78dm.net	成功收听	5156524
http://bbs.78dm.net	成功收听	5172646
http://bbs.78dm.net	成功收听	177976
http://bbs.78dm.net	成功收听	5143156
http://bbs.78dm.net	成功收听	5174142
http://bbs.78dm.net	成功收听	5172004
http://bbs.78dm.net	成功收听	143277
http://bbs.78dm.net	成功收听	5174694
http://bbs.78dm.net	成功收听	3834442
http://bbs.78dm.net	成功收听	3759078
http://bbs.78dm.net	成功收听	5139990
http://bbs.78dm.net	成功收听	57004
http://bbs.78dm.net	成功收听	3681996
http://bbs.78dm.net	成功收听	3832484
http://bbs.78dm.net	成功收听	3459082
http://bbs.78dm.net	成功收听	3435961
http://bbs.78dm.net	成功收听	83689
http://bbs.78dm.net	成功收听	5148144
http://bbs.78dm.net	成功收听	5140421
http://bbs.78dm.net	成功收听	4841879
http://bbs.78dm.net	成功收听	5174256
http://bbs.78dm.net	成功收听	5137408
http://bbs.78dm.net	成功收听	376189
http://bbs.78dm.net	成功收听	1888267
http://bbs.78dm.net	成功收听	67400
http://bbs.78dm.net	成功收听	5159525
http://bbs.78dm.net	成功收听	5152273
http://bbs.78dm.net	成功收听	2332513
http://bbs.78dm.net	成功收听	5174693
http://bbs.78dm.net	成功收听	456386
http://bbs.78dm.net	成功收听	195496
http://bbs.78dm.net	成功收听	5071331
http://bbs.78dm.net	成功收听	3737134
http://bbs.78dm.net	成功收听	189835
http://bbs.78dm.net	成功收听	5174308
http://bbs.78dm.net	成功收听	5147929
http://bbs.78dm.net	成功收听	3672401
http://bbs.78dm.net	成功收听	76085
http://bbs.78dm.net	成功收听	1827017
http://bbs.78dm.net	成功收听	5098135
http://bbs.78dm.net	成功收听	3737145
http://bbs.78dm.net	成功收听	4920058
http://bbs.78dm.net	成功收听	5136753
http://bbs.78dm.net	成功收听	52402
http://bbs.78dm.net	成功收听	1057638
http://bbs.78dm.net	成功收听	5174692
http://bbs.78dm.net	成功收听	5169682
http://bbs.78dm.net	成功收听	5096899
http://bbs.78dm.net	成功收听	647003
http://bbs.78dm.net	成功收听	5163268
http://bbs.78dm.net	成功收听	367155
http://bbs.78dm.net	成功收听	483481
http://bbs.78dm.net	成功收听	3842478
http://bbs.78dm.net	成功收听	4988866
http://bbs.78dm.net	成功收听	190875
http://bbs.78dm.net	成功收听	392114
http://bbs.78dm.net	成功收听	2774635
http://bbs.78dm.net	成功收听	5136727
http://bbs.78dm.net	成功收听	165711
http://bbs.78dm.net	成功收听	5106779
http://bbs.78dm.net	成功收听	2539021
http://bbs.78dm.net	成功收听	5174695
http://bbs.78dm.net	成功收听	5163198
http://bbs.78dm.net	成功收听	5168979
http://bbs.78dm.net	成功收听	3787371
http://bbs.78dm.net	成功收听	5169713
http://bbs.78dm.net	成功收听	359672
http://bbs.78dm.net	已经收听过了
http://bbs.78dm.net	成功收听	3831260
http://bbs.78dm.net	成功收听	42326
http://bbs.78dm.net	成功收听	133083
http://bbs.78dm.net	成功收听	3588558
http://bbs.78dm.net	成功收听	2942801
http://bbs.78dm.net	成功收听	377623
http://bbs.78dm.net	成功收听	5046897
http://bbs.78dm.net	成功收听	5172438
http://bbs.78dm.net	成功收听	997293
http://bbs.78dm.net	成功收听	128800
http://bbs.78dm.net	成功收听	3021370
http://bbs.78dm.net	成功收听	3486025
http://bbs.78dm.net	成功收听	1024170
http://bbs.78dm.net	成功收听	383741
http://bbs.78dm.net	成功收听	1103428
http://bbs.78dm.net	成功收听	25269
http://bbs.78dm.net	成功收听	3663671
http://bbs.78dm.net	成功收听	363915
http://bbs.78dm.net	成功收听	5143385
http://bbs.78dm.net	成功收听	49136
http://bbs.78dm.net	成功收听	1977366
http://bbs.78dm.net	成功收听	3693489
http://bbs.78dm.net	成功收听	5174696
http://bbs.78dm.net	成功收听	5148137
http://bbs.78dm.net	成功收听	49274
http://bbs.78dm.net	成功收听	3629575
http://bbs.78dm.net	成功收听	4827672
http://bbs.78dm.net	成功收听	162863
http://bbs.78dm.net	成功收听	3678004
http://bbs.78dm.net	成功收听	1770176
http://bbs.78dm.net	成功收听	3542108
http://bbs.78dm.net	成功收听	5174697
http://bbs.78dm.net	成功收听	5151605
http://bbs.78dm.net	成功收听	5062770
http://bbs.78dm.net	成功收听	185356
http://bbs.78dm.net	成功收听	56429
http://bbs.78dm.net	成功收听	57892
http://bbs.78dm.net	成功收听	2981106
http://bbs.78dm.net	成功收听	3580091
http://bbs.78dm.net	成功收听	129538
http://bbs.78dm.net	成功收听	5172229
http://bbs.78dm.net	成功收听	910448
http://bbs.78dm.net	成功收听	3744882
http://bbs.78dm.net	成功收听	275473
http://bbs.78dm.net	成功收听	5120376
http://bbs.78dm.net	成功收听	5107654
http://bbs.78dm.net	成功收听	392213
http://bbs.78dm.net	成功收听	356467
http://bbs.78dm.net	成功收听	177618
http://bbs.78dm.net	成功收听	56555
http://bbs.78dm.net	成功收听	5174698
http://bbs.78dm.net	成功收听	178970
http://bbs.78dm.net	成功收听	35775
http://bbs.78dm.net	成功收听	5170075
http://bbs.78dm.net	成功收听	5148112
http://bbs.78dm.net	成功收听	2781791
http://bbs.78dm.net	成功收听	3768421
http://bbs.78dm.net	成功收听	89475
http://bbs.78dm.net	成功收听	176785
http://bbs.78dm.net	成功收听	5174699
http://bbs.78dm.net	成功收听	5143608
http://bbs.78dm.net	成功收听	399767
http://bbs.78dm.net	成功收听	219380
http://bbs.78dm.net	成功收听	118072
http://bbs.78dm.net	成功收听	5172677
http://bbs.78dm.net	成功收听	3542121
http://bbs.78dm.net	成功收听	3666506
http://bbs.78dm.net	成功收听	128427
http://bbs.78dm.net	成功收听	5174700
http://bbs.78dm.net	成功收听	250128
http://bbs.78dm.net	成功收听	61386
http://bbs.78dm.net	成功收听	28863
http://bbs.78dm.net	成功收听	280064
http://bbs.78dm.net	成功收听	3738792
http://bbs.78dm.net	成功收听	57160
http://bbs.78dm.net	成功收听	5106338
http://bbs.78dm.net	成功收听	51693
http://bbs.78dm.net	成功收听	38214
http://bbs.78dm.net	成功收听	358713
http://bbs.78dm.net	成功收听	131725
http://bbs.78dm.net	成功收听	5172744
http://bbs.78dm.net	成功收听	28636
http://bbs.78dm.net	成功收听	5168781
http://bbs.78dm.net	成功收听	2548786
http://bbs.78dm.net	成功收听	5174701
http://bbs.78dm.net	成功收听	5085324
http://bbs.78dm.net	成功收听	610956
http://bbs.78dm.net	成功收听	5136508
http://bbs.78dm.net	成功收听	25251
http://bbs.78dm.net	成功收听	146304
http://bbs.78dm.net	成功收听	387883
http://bbs.78dm.net	成功收听	3023996
http://bbs.78dm.net	成功收听	5148209
http://bbs.78dm.net	成功收听	510801
http://bbs.78dm.net	成功收听	5098377
http://bbs.78dm.net	成功收听	3838202
http://bbs.78dm.net	成功收听	758
http://bbs.78dm.net	成功收听	182540
http://bbs.78dm.net	成功收听	30787
http://bbs.78dm.net	成功收听	3694880
http://bbs.78dm.net	成功收听	5152865
http://bbs.78dm.net	成功收听	60796
http://bbs.78dm.net	成功收听	5168787
http://bbs.78dm.net	成功收听	2004251
http://bbs.78dm.net	成功收听	182860
http://bbs.78dm.net	成功收听	3677923
http://bbs.78dm.net	成功收听	387754
http://bbs.78dm.net	成功收听	361198
http://bbs.78dm.net	成功收听	213261
http://bbs.78dm.net	成功收听	5095716
http://bbs.78dm.net	成功收听	5100160
http://bbs.78dm.net	成功收听	3618990
http://bbs.78dm.net	成功收听	5143103
http://bbs.78dm.net	成功收听	389945
http://bbs.78dm.net	成功收听	5135840
http://bbs.78dm.net	成功收听	4853361
http://bbs.78dm.net	成功收听	5168530
http://bbs.78dm.net	成功收听	152044
http://bbs.78dm.net	成功收听	5172558
http://bbs.78dm.net	成功收听	5174702
http://bbs.78dm.net	成功收听	71182
http://bbs.78dm.net	成功收听	3739095
http://bbs.78dm.net	成功收听	139277
http://bbs.78dm.net	成功收听	3841996
http://bbs.78dm.net	成功收听	4846246
http://bbs.78dm.net	成功收听	3651092
http://bbs.78dm.net	成功收听	519718
http://bbs.78dm.net	成功收听	4848128
http://bbs.78dm.net	成功收听	1990339
http://bbs.78dm.net	成功收听	375389
http://bbs.78dm.net	成功收听	3675301
http://bbs.78dm.net	成功收听	5146881
http://bbs.78dm.net	成功收听	5148203
http://bbs.78dm.net	成功收听	5108931
http://bbs.78dm.net	成功收听	2897547
http://bbs.78dm.net	成功收听	3621173
http://bbs.78dm.net	成功收听	106758
http://bbs.78dm.net	成功收听	5141149
http://bbs.78dm.net	成功收听	5100281
http://bbs.78dm.net	成功收听	3121099
http://bbs.78dm.net	成功收听	3825106
http://bbs.78dm.net	成功收听	3825940
http://bbs.78dm.net	成功收听	2658366
http://bbs.78dm.net	成功收听	3646181
http://bbs.78dm.net	成功收听	4841271
http://bbs.78dm.net	成功收听	43787
http://bbs.78dm.net	成功收听	3747538
http://bbs.78dm.net	成功收听	190439
http://bbs.78dm.net	成功收听	5114977
http://bbs.78dm.net	成功收听	3576414
http://bbs.78dm.net	成功收听	5174704
http://bbs.78dm.net	成功收听	5003335
http://bbs.78dm.net	成功收听	3652863
http://bbs.78dm.net	成功收听	86118
http://bbs.78dm.net	成功收听	468976
http://bbs.78dm.net	成功收听	5148021
http://bbs.78dm.net	成功收听	3121
http://bbs.78dm.net	成功收听	5174706
http://bbs.78dm.net	成功收听	5143576
http://bbs.78dm.net	成功收听	3695988
http://bbs.78dm.net	成功收听	5094381
http://bbs.78dm.net	成功收听	5167840
http://bbs.78dm.net	成功收听	754
http://bbs.78dm.net	成功收听	5174707
http://bbs.78dm.net	成功收听	5172537
http://bbs.78dm.net	成功收听	3843173
http://bbs.78dm.net	成功收听	5173891
http://bbs.78dm.net	成功收听	4701484
http://bbs.78dm.net	成功收听	1764030
http://bbs.78dm.net	成功收听	3842606
http://bbs.78dm.net	成功收听	407756
http://bbs.78dm.net	成功收听	3815408
http://bbs.78dm.net	成功收听	5056618
http://bbs.78dm.net	成功收听	272732
http://bbs.78dm.net	成功收听	273181
http://bbs.78dm.net	成功收听	44724
http://bbs.78dm.net	成功收听	5174709
http://bbs.78dm.net	成功收听	134226
http://bbs.78dm.net	成功收听	5174710
http://bbs.78dm.net	成功收听	4985732
http://bbs.78dm.net	成功收听	2011291
http://bbs.78dm.net	成功收听	5152014
http://bbs.78dm.net	成功收听	5121030
http://bbs.78dm.net	成功收听	2091375
http://bbs.78dm.net	成功收听	5092995
http://bbs.78dm.net	成功收听	37536
http://bbs.78dm.net	成功收听	5174655
http://bbs.78dm.net	成功收听	96935
http://bbs.78dm.net	成功收听	5169701
http://bbs.78dm.net	成功收听	5169699
http://bbs.78dm.net	成功收听	5169703
http://bbs.78dm.net	成功收听	66110
http://bbs.78dm.net	成功收听	53860
http://bbs.78dm.net	成功收听	554394
http://bbs.78dm.net	成功收听	5152498
http://bbs.78dm.net	成功收听	2392468
http://bbs.78dm.net	成功收听	128400
http://bbs.78dm.net	成功收听	3377822
http://bbs.78dm.net	成功收听	5143381
http://bbs.78dm.net	成功收听	5132143
http://bbs.78dm.net	成功收听	3524976
http://bbs.78dm.net	成功收听	5171951
http://bbs.78dm.net	成功收听	5111423
http://bbs.78dm.net	成功收听	5172845
http://bbs.78dm.net	成功收听	168104
http://bbs.78dm.net	成功收听	350320
http://bbs.78dm.net	成功收听	5133186
http://bbs.78dm.net	成功收听	43147
http://bbs.78dm.net	成功收听	3698395
http://bbs.78dm.net	成功收听	3031621
http://bbs.78dm.net	成功收听	5167466
http://bbs.78dm.net	成功收听	4850257
http://bbs.78dm.net	成功收听	5126533
http://bbs.78dm.net	成功收听	5169858
http://bbs.78dm.net	成功收听	5152309
http://bbs.78dm.net	成功收听	5143375
http://bbs.78dm.net	成功收听	5172854
http://bbs.78dm.net	成功收听	5174711
http://bbs.78dm.net	成功收听	22059
http://bbs.78dm.net	成功收听	2925933
http://bbs.78dm.net	成功收听	5159560
http://bbs.78dm.net	成功收听	5148091
http://bbs.78dm.net	成功收听	5172312
http://bbs.78dm.net	成功收听	2897596
http://bbs.78dm.net	成功收听	5174712
http://bbs.78dm.net	成功收听	2698014
http://bbs.78dm.net	成功收听	129588
http://bbs.78dm.net	成功收听	40898
http://bbs.78dm.net	成功收听	86763
http://bbs.78dm.net	成功收听	180078
http://bbs.78dm.net	成功收听	3357511
http://bbs.78dm.net	成功收听	4758535
http://bbs.78dm.net	成功收听	29862
http://bbs.78dm.net	成功收听	3689150
http://bbs.78dm.net	成功收听	23364
http://bbs.78dm.net	成功收听	5143114
http://bbs.78dm.net	成功收听	3586514
http://bbs.78dm.net	成功收听	28373
http://bbs.78dm.net	成功收听	722512
http://bbs.78dm.net	成功收听	5174713
http://bbs.78dm.net	成功收听	5148100
http://bbs.78dm.net	成功收听	5169687
http://bbs.78dm.net	成功收听	3550765
http://bbs.78dm.net	成功收听	285703
http://bbs.78dm.net	成功收听	5154889
http://bbs.78dm.net	成功收听	2762820
http://bbs.78dm.net	成功收听	3401340
http://bbs.78dm.net	成功收听	381859
http://bbs.78dm.net	成功收听	151724
http://bbs.78dm.net	成功收听	5143561
http://bbs.78dm.net	成功收听	5148193
http://bbs.78dm.net	成功收听	2996965
http://bbs.78dm.net	成功收听	105293
http://bbs.78dm.net	成功收听	5174714
http://bbs.78dm.net	成功收听	4758893
http://bbs.78dm.net	成功收听	5151842
http://bbs.78dm.net	成功收听	3268139
http://bbs.78dm.net	成功收听	5101615
http://bbs.78dm.net	成功收听	5174715
http://bbs.78dm.net	成功收听	905533
http://bbs.78dm.net	成功收听	4825648
http://bbs.78dm.net	成功收听	5172188
http://bbs.78dm.net	成功收听	5174716
http://bbs.78dm.net	成功收听	99708
http://bbs.78dm.net	成功收听	5153923
http://bbs.78dm.net	成功收听	5143380
http://bbs.78dm.net	成功收听	53654
http://bbs.78dm.net	成功收听	5060921
http://bbs.78dm.net	成功收听	19372
http://bbs.78dm.net	成功收听	5159539
http://bbs.78dm.net	成功收听	150807
http://bbs.78dm.net	成功收听	49063
http://bbs.78dm.net	成功收听	5148263
http://bbs.78dm.net	成功收听	3696287
http://bbs.78dm.net	成功收听	5165648
http://bbs.78dm.net	成功收听	5131380
http://bbs.78dm.net	成功收听	5174717
http://bbs.78dm.net	成功收听	5172282
http://bbs.78dm.net	成功收听	3215889
http://bbs.78dm.net	成功收听	3730256
http://bbs.78dm.net	成功收听	5143139
http://bbs.78dm.net	成功收听	5172113
http://bbs.78dm.net	成功收听	5141402
http://bbs.78dm.net	成功收听	5174718
http://bbs.78dm.net	成功收听	3573032
http://bbs.78dm.net	成功收听	277528
http://bbs.78dm.net	成功收听	5174719
http://bbs.78dm.net	成功收听	5174720
http://bbs.78dm.net	成功收听	5159533
http://bbs.78dm.net	成功收听	5152754
http://bbs.78dm.net	成功收听	5145681
http://bbs.78dm.net	成功收听	37514
http://bbs.78dm.net	成功收听	53749
http://bbs.78dm.net	成功收听	5140906
http://bbs.78dm.net	成功收听	5143340
http://bbs.78dm.net	成功收听	5120179
http://bbs.78dm.net	成功收听	5172306
http://bbs.78dm.net	成功收听	282229
http://bbs.78dm.net	成功收听	5169388
http://bbs.78dm.net	成功收听	5174721
http://bbs.78dm.net	成功收听	5169998
http://bbs.78dm.net	成功收听	480452
http://bbs.78dm.net	成功收听	5143093
http://bbs.78dm.net	成功收听	3844482
http://bbs.78dm.net	成功收听	5174723
http://bbs.78dm.net	成功收听	3578110
http://bbs.78dm.net	成功收听	5124583
http://bbs.78dm.net	成功收听	5174724
http://bbs.78dm.net	成功收听	5143634
http://bbs.78dm.net	成功收听	5148157
http://bbs.78dm.net	成功收听	3693036
http://bbs.78dm.net	成功收听	5174725
http://bbs.78dm.net	成功收听	5057190
http://bbs.78dm.net	成功收听	5174726
http://bbs.78dm.net	成功收听	5099069
http://bbs.78dm.net	成功收听	5172835
http://bbs.78dm.net	成功收听	5143367
http://bbs.78dm.net	成功收听	5174727
http://bbs.78dm.net	成功收听	5174728
http://bbs.78dm.net	成功收听	5169891
http://bbs.78dm.net	成功收听	5169890
http://bbs.78dm.net	成功收听	5169895
http://bbs.78dm.net	成功收听	5121844
http://bbs.78dm.net	成功收听	5148223
http://bbs.78dm.net	成功收听	3345126
http://bbs.78dm.net	成功收听	5142090
http://bbs.78dm.net	成功收听	5143164
http://bbs.78dm.net	成功收听	5172861
http://bbs.78dm.net	成功收听	5148168
http://bbs.78dm.net	成功收听	3676128
http://bbs.78dm.net	成功收听	5174729
http://bbs.78dm.net	成功收听	5081960
http://bbs.78dm.net	成功收听	3843801
http://bbs.78dm.net	成功收听	3542578
http://bbs.78dm.net	成功收听	5174730
http://bbs.78dm.net	成功收听	5148069
http://bbs.78dm.net	成功收听	5171573
http://bbs.78dm.net	成功收听	5081930
http://bbs.78dm.net	成功收听	5174731
http://bbs.78dm.net	成功收听	5143100
http://bbs.78dm.net	成功收听	47755
http://bbs.78dm.net	成功收听	5174732
http://bbs.78dm.net	成功收听	5148040
http://bbs.78dm.net	成功收听	5174733
http://bbs.78dm.net	成功收听	320800
http://bbs.78dm.net	成功收听	5143384
http://bbs.78dm.net	成功收听	5060859
http://bbs.78dm.net	成功收听	5148270
http://bbs.78dm.net	成功收听	5174734
http://bbs.78dm.net	成功收听	5138770
http://bbs.78dm.net	成功收听	3565314
http://bbs.78dm.net	成功收听	196262
http://bbs.78dm.net	成功收听	5148604
http://bbs.78dm.net	成功收听	5174736
http://bbs.78dm.net	成功收听	5143390
http://bbs.78dm.net	成功收听	5171797
http://bbs.78dm.net	成功收听	5148125
http://bbs.78dm.net	成功收听	5172258
http://bbs.78dm.net	成功收听	5169599
http://bbs.78dm.net	成功收听	5174737
http://bbs.78dm.net	成功收听	2484564
http://bbs.78dm.net	成功收听	4921336
http://bbs.78dm.net	成功收听	5174738
http://bbs.78dm.net	成功收听	5172468
http://bbs.78dm.net	成功收听	270394
http://bbs.78dm.net	成功收听	5174739
http://bbs.78dm.net	成功收听	503966
http://bbs.78dm.net	成功收听	4845084
http://bbs.78dm.net	成功收听	3594727
http://bbs.78dm.net	成功收听	5174740
http://bbs.78dm.net	成功收听	5174741
http://bbs.78dm.net	成功收听	2620434
http://bbs.78dm.net	成功收听	52729
http://bbs.78dm.net	成功收听	5143159
http://bbs.78dm.net	成功收听	171894
http://bbs.78dm.net	成功收听	5174742
http://bbs.78dm.net	成功收听	5174743
http://bbs.78dm.net	成功收听	404101
http://bbs.78dm.net	成功收听	3844402
http://bbs.78dm.net	成功收听	5174745
http://bbs.78dm.net	成功收听	5172702
http://bbs.78dm.net	成功收听	3110234
http://bbs.78dm.net	成功收听	175693
http://bbs.78dm.net	成功收听	118878
http://bbs.78dm.net	成功收听	3664187
http://bbs.78dm.net	成功收听	5143619
http://bbs.78dm.net	成功收听	47966
http://bbs.78dm.net	成功收听	5174746
http://bbs.78dm.net	成功收听	4844946
http://bbs.78dm.net	成功收听	259522
http://bbs.78dm.net	成功收听	4758168
http://bbs.78dm.net	成功收听	5174200
http://bbs.78dm.net	成功收听	5174747
http://bbs.78dm.net	成功收听	5082377
http://bbs.78dm.net	成功收听	3781910
http://bbs.78dm.net	成功收听	5144749
http://bbs.78dm.net	成功收听	5148049
http://bbs.78dm.net	成功收听	5174748
http://bbs.78dm.net	成功收听	4919617
http://bbs.78dm.net	成功收听	97812
http://bbs.78dm.net	成功收听	2918383
http://bbs.78dm.net	成功收听	5174477
