
2018-05-11 23:58:25	http://52.jiasu.uza100.com
http://52.jiasu.uza100.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://52.jiasu.uza100.com	84697	已发送君承泉下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84697	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84698
http://52.jiasu.uza100.com	84698	已发送砚晨诚下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84698	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	65376
http://52.jiasu.uza100.com	65376	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	65376	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84494
http://52.jiasu.uza100.com	84494	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84494	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	67066
http://52.jiasu.uza100.com	67066	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	67066	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84699
http://52.jiasu.uza100.com	84699	已发送丹菊炳下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84699	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84700
http://52.jiasu.uza100.com	84700	已发送境鰆妃下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84700	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	74030
http://52.jiasu.uza100.com	74030	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	74030	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84628
http://52.jiasu.uza100.com	84628	已发送穆菲下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84628	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84701
http://52.jiasu.uza100.com	84701	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84701	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	83126
http://52.jiasu.uza100.com	83126	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	83126	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84702
http://52.jiasu.uza100.com	84702	已发送成超杲下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84702	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	22067
http://52.jiasu.uza100.com	22067	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	22067	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84703
http://52.jiasu.uza100.com	84703	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84703	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84704
http://52.jiasu.uza100.com	84704	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84704	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	71978
http://52.jiasu.uza100.com	71978	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	71978	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84705
http://52.jiasu.uza100.com	84705	已发送开飞机的下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84705	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84706
http://52.jiasu.uza100.com	84706	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84706	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	83502
http://52.jiasu.uza100.com	83502	已发送史丹利下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	83502	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84707
http://52.jiasu.uza100.com	84707	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84707	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84708
http://52.jiasu.uza100.com	84708	已发送君梧爱笑下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84708	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84709
http://52.jiasu.uza100.com	84709	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84709	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84710
http://52.jiasu.uza100.com	84710	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84710	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84711
http://52.jiasu.uza100.com	84711	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84711	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84623
http://52.jiasu.uza100.com	84623	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84623	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84712
http://52.jiasu.uza100.com	84712	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84712	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84713
http://52.jiasu.uza100.com	84713	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84713	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	80334
http://52.jiasu.uza100.com	80334	已发送加入下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	80334	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	5
http://52.jiasu.uza100.com	5	已发送假情假意下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	5	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84714
http://52.jiasu.uza100.com	84714	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84714	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84715
http://52.jiasu.uza100.com	84715	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84715	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84716
http://52.jiasu.uza100.com	84716	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84716	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	82566
http://52.jiasu.uza100.com	82566	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	82566	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84717
http://52.jiasu.uza100.com	84717	已发送溫蒂外送茶下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84717	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84718
http://52.jiasu.uza100.com	84718	已发送呦呦妹子下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84718	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	82293
http://52.jiasu.uza100.com	82293	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	82293	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84719
http://52.jiasu.uza100.com	84719	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84719	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	48778
http://52.jiasu.uza100.com	48778	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	48778	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	83681
http://52.jiasu.uza100.com	83681	已发送群下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	83681	无任何返回结果，大多数情况下为发送成功
http://52.jiasu.uza100.com	成功收听	84471
http://52.jiasu.uza100.com	84471	已发送第五次誓言下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84471	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84720
http://52.jiasu.uza100.com	84720	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84720	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	成功收听	84721
http://52.jiasu.uza100.com	84721	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52.jiasu.uza100.com	84721	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
