
2018-05-11 23:58:38	http://bbs.qingtingzj.xyz
http://bbs.qingtingzj.xyz	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://bbs.qingtingzj.xyz	6845	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39106
http://bbs.qingtingzj.xyz	39106	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39106	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	11442
http://bbs.qingtingzj.xyz	11442	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	11442	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	6845	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6845	正在等待验证
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	39106	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39106	正在等待验证
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	11442	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	11442	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	30846
http://bbs.qingtingzj.xyz	30846	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	30846	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	26930
http://bbs.qingtingzj.xyz	26930	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	26930	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	10174
http://bbs.qingtingzj.xyz	10174	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	10174	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	31274	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	24423
http://bbs.qingtingzj.xyz	24423	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	24423	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	23449
http://bbs.qingtingzj.xyz	23449	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	23449	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39114
http://bbs.qingtingzj.xyz	39114	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39114	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39111
http://bbs.qingtingzj.xyz	39111	已发送天犲下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39111	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	15507
http://bbs.qingtingzj.xyz	15507	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	15507	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	33721
http://bbs.qingtingzj.xyz	33721	已发送曾经的约定下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	26946
http://bbs.qingtingzj.xyz	26946	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	26946	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39112
http://bbs.qingtingzj.xyz	39112	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39112	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	10046
http://bbs.qingtingzj.xyz	10046	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	10046	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	33243
http://bbs.qingtingzj.xyz	33243	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	33243	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	35193
http://bbs.qingtingzj.xyz	35193	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	35193	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39110
http://bbs.qingtingzj.xyz	39110	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39110	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	21281
http://bbs.qingtingzj.xyz	21281	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	21281	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	28293
http://bbs.qingtingzj.xyz	28293	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	28293	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	6626
http://bbs.qingtingzj.xyz	6626	已发送隔壁小张下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6626	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	38492
http://bbs.qingtingzj.xyz	38492	已发送哈哈哈哈哈镜下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	38492	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	6618
http://bbs.qingtingzj.xyz	6618	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6618	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	25527
http://bbs.qingtingzj.xyz	25527	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	25527	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	22293
http://bbs.qingtingzj.xyz	22293	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	22293	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	28088
http://bbs.qingtingzj.xyz	28088	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	28088	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	26839
http://bbs.qingtingzj.xyz	26839	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	26839	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	8817
http://bbs.qingtingzj.xyz	8817	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	8817	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	9064
http://bbs.qingtingzj.xyz	9064	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	9064	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	28859
http://bbs.qingtingzj.xyz	28859	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	28859	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	8108	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	8108	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	34661
http://bbs.qingtingzj.xyz	34661	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	34661	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	23193	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	23193	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	7574
http://bbs.qingtingzj.xyz	7574	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	7574	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37309
http://bbs.qingtingzj.xyz	37309	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37309	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	37309	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37309	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	23376
http://bbs.qingtingzj.xyz	23376	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	23376	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39094
http://bbs.qingtingzj.xyz	39094	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39094	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	31724
http://bbs.qingtingzj.xyz	31724	已发送萌萌哒天团下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	31724	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	11522
http://bbs.qingtingzj.xyz	11522	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	11522	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	18471
http://bbs.qingtingzj.xyz	18471	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	18471	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	16062
http://bbs.qingtingzj.xyz	16062	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	16062	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	14653	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	14653	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	6696
http://bbs.qingtingzj.xyz	6696	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6696	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	38118
http://bbs.qingtingzj.xyz	38118	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	38118	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39109
http://bbs.qingtingzj.xyz	39109	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39109	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	26657
http://bbs.qingtingzj.xyz	26657	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	26657	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	34592
http://bbs.qingtingzj.xyz	34592	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	34592	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37843
http://bbs.qingtingzj.xyz	37843	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37843	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37522
http://bbs.qingtingzj.xyz	37522	已发送骗子死全家下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37522	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37974
http://bbs.qingtingzj.xyz	37974	已发送幸会君下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37974	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39107
http://bbs.qingtingzj.xyz	39107	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39107	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	7898
http://bbs.qingtingzj.xyz	7898	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	7898	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	11792
http://bbs.qingtingzj.xyz	11792	已发送大开下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	11792	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	32041
http://bbs.qingtingzj.xyz	32041	已发送你们在干嘛下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	32041	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39069
http://bbs.qingtingzj.xyz	39069	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39069	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39108
http://bbs.qingtingzj.xyz	39108	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39108	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	15233
http://bbs.qingtingzj.xyz	15233	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	15233	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39105
http://bbs.qingtingzj.xyz	39105	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39105	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37689
http://bbs.qingtingzj.xyz	37689	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37689	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	34987
http://bbs.qingtingzj.xyz	34987	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	34987	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	31983
http://bbs.qingtingzj.xyz	31983	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	31983	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	22067
http://bbs.qingtingzj.xyz	22067	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	22067	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	13155
http://bbs.qingtingzj.xyz	13155	已发送小啊邓下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	13155	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	37500
http://bbs.qingtingzj.xyz	37500	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	37500	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	6831
http://bbs.qingtingzj.xyz	6831	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6831	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39099
http://bbs.qingtingzj.xyz	39099	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39099	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	已经收听过了
http://bbs.qingtingzj.xyz	39099	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39099	正在等待验证
http://bbs.qingtingzj.xyz	成功收听	7994
http://bbs.qingtingzj.xyz	7994	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	7994	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	7457
http://bbs.qingtingzj.xyz	7457	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	7457	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	10709
http://bbs.qingtingzj.xyz	10709	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	10709	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39076
http://bbs.qingtingzj.xyz	39076	已发送雪花秀下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39076	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	18706
http://bbs.qingtingzj.xyz	18706	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	18706	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	24659
http://bbs.qingtingzj.xyz	24659	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	24659	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39103
http://bbs.qingtingzj.xyz	39103	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39103	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	31415
http://bbs.qingtingzj.xyz	31415	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	31415	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39102
http://bbs.qingtingzj.xyz	39102	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39102	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	16675
http://bbs.qingtingzj.xyz	16675	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	16675	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	22937
http://bbs.qingtingzj.xyz	22937	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	22937	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	7595
http://bbs.qingtingzj.xyz	7595	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	7595	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	23982
http://bbs.qingtingzj.xyz	23982	已发送哈哈呵呵呵下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	23982	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	26782
http://bbs.qingtingzj.xyz	26782	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	26782	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	6353
http://bbs.qingtingzj.xyz	6353	已发送小豆逗下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	6353	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39127
http://bbs.qingtingzj.xyz	39127	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39127	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	39122
http://bbs.qingtingzj.xyz	39122	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	39122	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	28564
http://bbs.qingtingzj.xyz	28564	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	28564	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	10783
http://bbs.qingtingzj.xyz	10783	已发送走跑下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	10783	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.qingtingzj.xyz	成功收听	36557
