
2018-04-18 12:09:45	http://www.xicxi.com
http://www.xicxi.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	成功收听	23395
http://www.xicxi.com	23395	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23395	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23395	正在等待验证
http://www.xicxi.com	成功收听	23397
http://www.xicxi.com	23397	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23397	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23397	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	19646	已发送杰森下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	19646	正在等待验证
http://www.xicxi.com	成功收听	23401
http://www.xicxi.com	23401	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23401	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23402
http://www.xicxi.com	23402	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23402	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23403
http://www.xicxi.com	23403	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23403	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23406
http://www.xicxi.com	23406	已发送黑子零零七下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23406	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23407
http://www.xicxi.com	23407	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23407	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23408
http://www.xicxi.com	23408	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23408	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	6794	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	6794	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23411
http://www.xicxi.com	23411	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23411	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23412
http://www.xicxi.com	23412	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23412	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23413
http://www.xicxi.com	23413	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23413	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23414
http://www.xicxi.com	23414	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23414	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23415
http://www.xicxi.com	23415	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23415	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23419
http://www.xicxi.com	23419	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23419	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23421
http://www.xicxi.com	23421	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23421	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23422
http://www.xicxi.com	23422	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23422	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23425
http://www.xicxi.com	23425	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23425	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23429
http://www.xicxi.com	23429	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23429	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23433
http://www.xicxi.com	23433	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23433	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23436
http://www.xicxi.com	23436	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23436	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23435
http://www.xicxi.com	23435	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23435	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23439
http://www.xicxi.com	23439	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23439	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23440
http://www.xicxi.com	23440	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23440	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23441
http://www.xicxi.com	23441	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23441	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23442
http://www.xicxi.com	23442	已发送明天相遇下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23442	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23443
http://www.xicxi.com	23443	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23443	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	16732
http://www.xicxi.com	16732	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	16732	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	19621
http://www.xicxi.com	19621	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	19621	正在等待验证
http://www.xicxi.com	成功收听	23448
http://www.xicxi.com	23448	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23448	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23447
http://www.xicxi.com	23447	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23447	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
