
2018-04-18 11:53:44	http://kb986.com
http://kb986.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://kb986.com	3289	无任何返回结果，大多数情况下为发送成功
http://kb986.com	3289	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	52913
http://kb986.com	52913	已发送始皇帝下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	52913	无任何返回结果，大多数情况下为发送成功
http://kb986.com	52913	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	71498
http://kb986.com	71498	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	71498	无任何返回结果，大多数情况下为发送成功
http://kb986.com	71498	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	11050
http://kb986.com	11050	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	11050	无任何返回结果，大多数情况下为发送成功
http://kb986.com	11050	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	13734
http://kb986.com	13734	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	13734	无任何返回结果，大多数情况下为发送成功
http://kb986.com	13734	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80726
http://kb986.com	80726	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80726	无任何返回结果，大多数情况下为发送成功
http://kb986.com	80726	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	65044
http://kb986.com	65044	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	65044	无任何返回结果，大多数情况下为发送成功
http://kb986.com	65044	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80727
http://kb986.com	80727	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80727	无任何返回结果，大多数情况下为发送成功
http://kb986.com	80727	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	5652
http://kb986.com	5652	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	5652	无任何返回结果，大多数情况下为发送成功
http://kb986.com	5652	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	17314
http://kb986.com	17314	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	17314	无任何返回结果，大多数情况下为发送成功
http://kb986.com	17314	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80728
http://kb986.com	80728	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80728	无任何返回结果，大多数情况下为发送成功
http://kb986.com	80728	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	5431
http://kb986.com	5431	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	5431	无任何返回结果，大多数情况下为发送成功
http://kb986.com	5431	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	79027
http://kb986.com	79027	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	79027	无任何返回结果，大多数情况下为发送成功
http://kb986.com	79027	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	1683
http://kb986.com	1683	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	1683	无任何返回结果，大多数情况下为发送成功
http://kb986.com	1683	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	58884
http://kb986.com	58884	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	58884	无任何返回结果，大多数情况下为发送成功
http://kb986.com	58884	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	25014
http://kb986.com	25014	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	25014	无任何返回结果，大多数情况下为发送成功
http://kb986.com	25014	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	18359
http://kb986.com	18359	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	18359	无任何返回结果，大多数情况下为发送成功
http://kb986.com	18359	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80575
http://kb986.com	80575	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80575	无任何返回结果，大多数情况下为发送成功
http://kb986.com	80575	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80729
http://kb986.com	80729	已发送黑涩天空下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80729	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	4956
http://kb986.com	4956	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	4956	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	79364
http://kb986.com	79364	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	79364	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80730
http://kb986.com	80730	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80730	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	48732
http://kb986.com	48732	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	48732	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80731
http://kb986.com	80731	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80731	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	6877
http://kb986.com	6877	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	6877	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	73493
http://kb986.com	73493	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	73493	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80732
http://kb986.com	80732	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80732	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80733
http://kb986.com	80733	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80733	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80734
http://kb986.com	80734	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80734	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	79555
http://kb986.com	79555	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	79555	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	11228
http://kb986.com	11228	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	11228	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80735
http://kb986.com	80735	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80735	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80736
http://kb986.com	80736	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80736	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80650
http://kb986.com	80650	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80650	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	60020
http://kb986.com	60020	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	60020	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80737
http://kb986.com	80737	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80737	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80738
http://kb986.com	80738	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80738	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	76934
http://kb986.com	76934	已发送华逝下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	76934	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80739
http://kb986.com	80739	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80739	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	71433
http://kb986.com	71433	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	71433	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80740
http://kb986.com	80740	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80740	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	6849
http://kb986.com	6849	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	6849	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80741
http://kb986.com	80741	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80741	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	79976
http://kb986.com	79976	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	79976	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	10717
http://kb986.com	10717	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	10717	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80336
http://kb986.com	80336	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80336	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80742
http://kb986.com	80742	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80742	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80743
http://kb986.com	80743	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80743	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	78918
http://kb986.com	78918	已发送惡仁下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	78918	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	78244
http://kb986.com	78244	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	78244	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	70194
http://kb986.com	70194	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	70194	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80744
http://kb986.com	80744	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80744	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	61037
http://kb986.com	61037	已发送哩來搞笑喔下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	61037	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	72662
http://kb986.com	72662	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	72662	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	54463
http://kb986.com	54463	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	54463	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	60369
http://kb986.com	60369	已发送破晓下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	60369	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	46529
http://kb986.com	46529	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	46529	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80745
http://kb986.com	80745	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80745	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	77606
http://kb986.com	77606	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	77606	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80746
http://kb986.com	80746	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80746	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	55749
http://kb986.com	55749	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	55749	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	23704
http://kb986.com	23704	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	23704	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	68611
http://kb986.com	68611	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	68611	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	61667
http://kb986.com	61667	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	61667	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	59306
http://kb986.com	59306	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	59306	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80748
http://kb986.com	80748	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80748	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	成功收听	80663
http://kb986.com	80663	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://kb986.com	80663	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
