
2018-05-12 00:00:02	http://www.jsgbbb.com
http://www.jsgbbb.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.jsgbbb.com	成功收听	78990
http://www.jsgbbb.com	成功收听	380974
http://www.jsgbbb.com	成功收听	383310
http://www.jsgbbb.com	成功收听	82349
http://www.jsgbbb.com	成功收听	82942
http://www.jsgbbb.com	成功收听	260299
http://www.jsgbbb.com	成功收听	383311
http://www.jsgbbb.com	成功收听	383312
http://www.jsgbbb.com	成功收听	383313
http://www.jsgbbb.com	成功收听	383314
http://www.jsgbbb.com	成功收听	383315
http://www.jsgbbb.com	成功收听	90441
http://www.jsgbbb.com	成功收听	383316
http://www.jsgbbb.com	成功收听	383317
http://www.jsgbbb.com	成功收听	292362
http://www.jsgbbb.com	成功收听	383318
http://www.jsgbbb.com	成功收听	379784
http://www.jsgbbb.com	成功收听	343966
http://www.jsgbbb.com	成功收听	383319
http://www.jsgbbb.com	成功收听	383320
http://www.jsgbbb.com	成功收听	383321
http://www.jsgbbb.com	成功收听	219340
http://www.jsgbbb.com	成功收听	383322
http://www.jsgbbb.com	成功收听	36945
http://www.jsgbbb.com	成功收听	383323
http://www.jsgbbb.com	成功收听	383324
http://www.jsgbbb.com	成功收听	66224
http://www.jsgbbb.com	成功收听	383325
http://www.jsgbbb.com	成功收听	380340
http://www.jsgbbb.com	成功收听	42583
http://www.jsgbbb.com	成功收听	383326
http://www.jsgbbb.com	成功收听	383327
http://www.jsgbbb.com	成功收听	4878
http://www.jsgbbb.com	成功收听	258637
http://www.jsgbbb.com	成功收听	383328
http://www.jsgbbb.com	成功收听	364662
http://www.jsgbbb.com	成功收听	383329
http://www.jsgbbb.com	成功收听	93
http://www.jsgbbb.com	成功收听	383330
http://www.jsgbbb.com	成功收听	167730
http://www.jsgbbb.com	成功收听	304349
http://www.jsgbbb.com	成功收听	42782
http://www.jsgbbb.com	成功收听	383331
http://www.jsgbbb.com	成功收听	383332
http://www.jsgbbb.com	成功收听	381103
http://www.jsgbbb.com	成功收听	379451
http://www.jsgbbb.com	成功收听	383333
http://www.jsgbbb.com	成功收听	381643
http://www.jsgbbb.com	成功收听	383334
http://www.jsgbbb.com	成功收听	260655
http://www.jsgbbb.com	成功收听	383335
http://www.jsgbbb.com	成功收听	383336
http://www.jsgbbb.com	成功收听	84947
http://www.jsgbbb.com	成功收听	383337
http://www.jsgbbb.com	成功收听	383338
http://www.jsgbbb.com	成功收听	383339
http://www.jsgbbb.com	成功收听	33550
http://www.jsgbbb.com	成功收听	383340
http://www.jsgbbb.com	成功收听	383341
http://www.jsgbbb.com	成功收听	383342
http://www.jsgbbb.com	成功收听	383343
http://www.jsgbbb.com	成功收听	383345
http://www.jsgbbb.com	成功收听	383344
http://www.jsgbbb.com	成功收听	270853
http://www.jsgbbb.com	成功收听	383346
http://www.jsgbbb.com	成功收听	380618
http://www.jsgbbb.com	成功收听	217152
http://www.jsgbbb.com	成功收听	353413
http://www.jsgbbb.com	成功收听	36
http://www.jsgbbb.com	成功收听	125701
http://www.jsgbbb.com	成功收听	381145
http://www.jsgbbb.com	成功收听	380364
http://www.jsgbbb.com	成功收听	101351
http://www.jsgbbb.com	成功收听	383347
http://www.jsgbbb.com	成功收听	383348
http://www.jsgbbb.com	成功收听	383349
http://www.jsgbbb.com	成功收听	383350
http://www.jsgbbb.com	成功收听	383351
http://www.jsgbbb.com	成功收听	383142
http://www.jsgbbb.com	成功收听	383352
http://www.jsgbbb.com	成功收听	381906
http://www.jsgbbb.com	成功收听	251722
http://www.jsgbbb.com	成功收听	125295
http://www.jsgbbb.com	成功收听	344046
http://www.jsgbbb.com	成功收听	383353
http://www.jsgbbb.com	成功收听	263601
http://www.jsgbbb.com	成功收听	383354
http://www.jsgbbb.com	成功收听	383355
http://www.jsgbbb.com	成功收听	383356
http://www.jsgbbb.com	成功收听	330803
http://www.jsgbbb.com	成功收听	354961
http://www.jsgbbb.com	成功收听	383357
http://www.jsgbbb.com	成功收听	381576
http://www.jsgbbb.com	成功收听	380838
http://www.jsgbbb.com	成功收听	383358
http://www.jsgbbb.com	成功收听	383359
http://www.jsgbbb.com	成功收听	383360
http://www.jsgbbb.com	成功收听	383361
http://www.jsgbbb.com	成功收听	59861
http://www.jsgbbb.com	成功收听	383362
http://www.jsgbbb.com	成功收听	383363
http://www.jsgbbb.com	成功收听	31412
http://www.jsgbbb.com	成功收听	383364
http://www.jsgbbb.com	成功收听	380009
http://www.jsgbbb.com	成功收听	383365
http://www.jsgbbb.com	成功收听	383366
http://www.jsgbbb.com	成功收听	383367
http://www.jsgbbb.com	成功收听	383368
http://www.jsgbbb.com	成功收听	383369
http://www.jsgbbb.com	成功收听	383370
http://www.jsgbbb.com	成功收听	383371
http://www.jsgbbb.com	成功收听	113938
http://www.jsgbbb.com	成功收听	383372
http://www.jsgbbb.com	成功收听	381110
http://www.jsgbbb.com	成功收听	383373
http://www.jsgbbb.com	成功收听	383374
http://www.jsgbbb.com	成功收听	383375
http://www.jsgbbb.com	成功收听	383376
http://www.jsgbbb.com	成功收听	383377
http://www.jsgbbb.com	成功收听	383378
http://www.jsgbbb.com	成功收听	123930
http://www.jsgbbb.com	成功收听	350403
http://www.jsgbbb.com	成功收听	382579
http://www.jsgbbb.com	成功收听	383379
http://www.jsgbbb.com	成功收听	81164
http://www.jsgbbb.com	成功收听	383380
http://www.jsgbbb.com	成功收听	247309
http://www.jsgbbb.com	成功收听	383381
http://www.jsgbbb.com	成功收听	4436
http://www.jsgbbb.com	成功收听	383382
http://www.jsgbbb.com	成功收听	383383
http://www.jsgbbb.com	成功收听	383384
http://www.jsgbbb.com	成功收听	383385
http://www.jsgbbb.com	成功收听	383386
http://www.jsgbbb.com	成功收听	327728
http://www.jsgbbb.com	成功收听	257271
http://www.jsgbbb.com	成功收听	383387
http://www.jsgbbb.com	成功收听	383388
http://www.jsgbbb.com	成功收听	376073
http://www.jsgbbb.com	成功收听	383389
http://www.jsgbbb.com	成功收听	383390
http://www.jsgbbb.com	成功收听	379298
http://www.jsgbbb.com	成功收听	383391
http://www.jsgbbb.com	成功收听	383392
http://www.jsgbbb.com	成功收听	383393
http://www.jsgbbb.com	成功收听	358123
http://www.jsgbbb.com	成功收听	383394
http://www.jsgbbb.com	成功收听	345722
http://www.jsgbbb.com	成功收听	383395
http://www.jsgbbb.com	成功收听	383396
http://www.jsgbbb.com	成功收听	383397
http://www.jsgbbb.com	成功收听	383398
http://www.jsgbbb.com	成功收听	263716
http://www.jsgbbb.com	成功收听	383399
http://www.jsgbbb.com	成功收听	383400
http://www.jsgbbb.com	成功收听	383401
http://www.jsgbbb.com	成功收听	383402
http://www.jsgbbb.com	成功收听	338886
http://www.jsgbbb.com	成功收听	383403
http://www.jsgbbb.com	成功收听	193652
http://www.jsgbbb.com	成功收听	292982
http://www.jsgbbb.com	成功收听	383404
http://www.jsgbbb.com	成功收听	15427
http://www.jsgbbb.com	成功收听	383405
http://www.jsgbbb.com	成功收听	383406
http://www.jsgbbb.com	成功收听	383407
http://www.jsgbbb.com	成功收听	383408
http://www.jsgbbb.com	成功收听	383409
http://www.jsgbbb.com	成功收听	383410
http://www.jsgbbb.com	成功收听	383411
http://www.jsgbbb.com	成功收听	383412
http://www.jsgbbb.com	成功收听	383413
http://www.jsgbbb.com	成功收听	383414
http://www.jsgbbb.com	成功收听	383415
http://www.jsgbbb.com	成功收听	383416
http://www.jsgbbb.com	成功收听	383417
http://www.jsgbbb.com	成功收听	383418
http://www.jsgbbb.com	成功收听	260440
http://www.jsgbbb.com	成功收听	383419
http://www.jsgbbb.com	成功收听	383420
http://www.jsgbbb.com	成功收听	93799
http://www.jsgbbb.com	成功收听	383421
http://www.jsgbbb.com	成功收听	381283
http://www.jsgbbb.com	成功收听	298474
http://www.jsgbbb.com	成功收听	383423
http://www.jsgbbb.com	成功收听	383422
http://www.jsgbbb.com	成功收听	40785
http://www.jsgbbb.com	成功收听	383424
http://www.jsgbbb.com	成功收听	28162
http://www.jsgbbb.com	成功收听	383425
http://www.jsgbbb.com	成功收听	383426
http://www.jsgbbb.com	成功收听	383427
http://www.jsgbbb.com	成功收听	383428
http://www.jsgbbb.com	成功收听	383429
http://www.jsgbbb.com	成功收听	383430
http://www.jsgbbb.com	成功收听	383431
http://www.jsgbbb.com	成功收听	383432
http://www.jsgbbb.com	成功收听	383433
http://www.jsgbbb.com	成功收听	383434
http://www.jsgbbb.com	成功收听	383435
http://www.jsgbbb.com	成功收听	383436
http://www.jsgbbb.com	成功收听	96204
http://www.jsgbbb.com	成功收听	383437
http://www.jsgbbb.com	成功收听	383438
http://www.jsgbbb.com	成功收听	383439
http://www.jsgbbb.com	成功收听	139641
http://www.jsgbbb.com	成功收听	383440
http://www.jsgbbb.com	成功收听	227998
http://www.jsgbbb.com	成功收听	3887
http://www.jsgbbb.com	成功收听	383441
http://www.jsgbbb.com	成功收听	93030
http://www.jsgbbb.com	成功收听	361672
http://www.jsgbbb.com	成功收听	383443
http://www.jsgbbb.com	成功收听	383442
http://www.jsgbbb.com	成功收听	383444
http://www.jsgbbb.com	成功收听	383445
http://www.jsgbbb.com	成功收听	383446
http://www.jsgbbb.com	成功收听	383447
http://www.jsgbbb.com	成功收听	374762
http://www.jsgbbb.com	成功收听	383448
http://www.jsgbbb.com	成功收听	383449
http://www.jsgbbb.com	成功收听	383450
http://www.jsgbbb.com	成功收听	383451
http://www.jsgbbb.com	成功收听	383452
http://www.jsgbbb.com	成功收听	362582
http://www.jsgbbb.com	成功收听	239438
http://www.jsgbbb.com	成功收听	383453
http://www.jsgbbb.com	成功收听	383454
http://www.jsgbbb.com	成功收听	383455
http://www.jsgbbb.com	成功收听	383456
http://www.jsgbbb.com	成功收听	383457
http://www.jsgbbb.com	成功收听	43508
http://www.jsgbbb.com	成功收听	383458
http://www.jsgbbb.com	成功收听	261865
http://www.jsgbbb.com	成功收听	383459
http://www.jsgbbb.com	成功收听	383460
http://www.jsgbbb.com	成功收听	383461
http://www.jsgbbb.com	成功收听	383462
http://www.jsgbbb.com	成功收听	383463
http://www.jsgbbb.com	成功收听	383464
http://www.jsgbbb.com	成功收听	383465
http://www.jsgbbb.com	成功收听	137843
http://www.jsgbbb.com	成功收听	383466
http://www.jsgbbb.com	成功收听	383467
http://www.jsgbbb.com	成功收听	367087
http://www.jsgbbb.com	成功收听	383468
http://www.jsgbbb.com	成功收听	383469
http://www.jsgbbb.com	成功收听	383470
http://www.jsgbbb.com	成功收听	139863
http://www.jsgbbb.com	成功收听	263920
http://www.jsgbbb.com	成功收听	383471
http://www.jsgbbb.com	成功收听	383472
http://www.jsgbbb.com	成功收听	383473
http://www.jsgbbb.com	成功收听	383474
http://www.jsgbbb.com	成功收听	45427
http://www.jsgbbb.com	成功收听	383475
http://www.jsgbbb.com	成功收听	381542
http://www.jsgbbb.com	成功收听	383476
http://www.jsgbbb.com	成功收听	35663
http://www.jsgbbb.com	成功收听	383477
http://www.jsgbbb.com	成功收听	383478
http://www.jsgbbb.com	成功收听	383479
http://www.jsgbbb.com	成功收听	383480
http://www.jsgbbb.com	成功收听	383481
http://www.jsgbbb.com	成功收听	42621
http://www.jsgbbb.com	成功收听	383482
http://www.jsgbbb.com	成功收听	342400
http://www.jsgbbb.com	成功收听	379707
http://www.jsgbbb.com	成功收听	383483
http://www.jsgbbb.com	成功收听	383484
http://www.jsgbbb.com	成功收听	383485
http://www.jsgbbb.com	成功收听	383486
http://www.jsgbbb.com	成功收听	140220
http://www.jsgbbb.com	成功收听	383487
http://www.jsgbbb.com	成功收听	383488
http://www.jsgbbb.com	成功收听	383489
http://www.jsgbbb.com	成功收听	383490
http://www.jsgbbb.com	成功收听	383491
http://www.jsgbbb.com	成功收听	383492
http://www.jsgbbb.com	成功收听	383493
http://www.jsgbbb.com	成功收听	383494
http://www.jsgbbb.com	成功收听	245190
http://www.jsgbbb.com	成功收听	383495
http://www.jsgbbb.com	成功收听	383496
http://www.jsgbbb.com	成功收听	383497
http://www.jsgbbb.com	成功收听	383498
http://www.jsgbbb.com	成功收听	383499
http://www.jsgbbb.com	成功收听	383500
http://www.jsgbbb.com	成功收听	42558
http://www.jsgbbb.com	成功收听	383501
http://www.jsgbbb.com	成功收听	383502
http://www.jsgbbb.com	成功收听	383503
http://www.jsgbbb.com	成功收听	383504
http://www.jsgbbb.com	成功收听	383505
http://www.jsgbbb.com	成功收听	383506
http://www.jsgbbb.com	成功收听	31630
http://www.jsgbbb.com	成功收听	364347
http://www.jsgbbb.com	成功收听	57773
http://www.jsgbbb.com	成功收听	383507
http://www.jsgbbb.com	成功收听	383508
http://www.jsgbbb.com	成功收听	383509
http://www.jsgbbb.com	成功收听	378900
http://www.jsgbbb.com	成功收听	24082
http://www.jsgbbb.com	成功收听	259456
http://www.jsgbbb.com	成功收听	383510
http://www.jsgbbb.com	成功收听	383511
http://www.jsgbbb.com	成功收听	383512
http://www.jsgbbb.com	成功收听	60820
http://www.jsgbbb.com	成功收听	277929
http://www.jsgbbb.com	成功收听	383513
http://www.jsgbbb.com	成功收听	383514
http://www.jsgbbb.com	成功收听	382688
http://www.jsgbbb.com	成功收听	41056
http://www.jsgbbb.com	成功收听	383515
http://www.jsgbbb.com	成功收听	383516
http://www.jsgbbb.com	成功收听	383517
http://www.jsgbbb.com	成功收听	383518
http://www.jsgbbb.com	成功收听	383519
http://www.jsgbbb.com	成功收听	383520
http://www.jsgbbb.com	成功收听	383521
http://www.jsgbbb.com	成功收听	383522
http://www.jsgbbb.com	成功收听	353104
http://www.jsgbbb.com	成功收听	383523
http://www.jsgbbb.com	成功收听	41268
http://www.jsgbbb.com	成功收听	383524
http://www.jsgbbb.com	成功收听	383525
http://www.jsgbbb.com	成功收听	4649
http://www.jsgbbb.com	成功收听	383526
http://www.jsgbbb.com	成功收听	383527
http://www.jsgbbb.com	成功收听	379211
http://www.jsgbbb.com	成功收听	383528
http://www.jsgbbb.com	成功收听	83674
http://www.jsgbbb.com	成功收听	122851
http://www.jsgbbb.com	成功收听	383529
http://www.jsgbbb.com	成功收听	260987
http://www.jsgbbb.com	成功收听	142708
http://www.jsgbbb.com	成功收听	79748
http://www.jsgbbb.com	成功收听	379227
http://www.jsgbbb.com	成功收听	23260
http://www.jsgbbb.com	成功收听	383530
http://www.jsgbbb.com	成功收听	382624
http://www.jsgbbb.com	成功收听	383531
http://www.jsgbbb.com	成功收听	342333
http://www.jsgbbb.com	成功收听	383532
http://www.jsgbbb.com	成功收听	383533
http://www.jsgbbb.com	成功收听	381168
http://www.jsgbbb.com	成功收听	40707
http://www.jsgbbb.com	成功收听	383534
http://www.jsgbbb.com	成功收听	383535
http://www.jsgbbb.com	成功收听	125682
http://www.jsgbbb.com	成功收听	383536
http://www.jsgbbb.com	成功收听	383537
http://www.jsgbbb.com	成功收听	383538
http://www.jsgbbb.com	成功收听	383539
http://www.jsgbbb.com	成功收听	35513
http://www.jsgbbb.com	成功收听	70074
http://www.jsgbbb.com	成功收听	383540
http://www.jsgbbb.com	成功收听	383541
http://www.jsgbbb.com	成功收听	383542
http://www.jsgbbb.com	成功收听	383543
http://www.jsgbbb.com	成功收听	383544
http://www.jsgbbb.com	成功收听	383545
http://www.jsgbbb.com	成功收听	383546
http://www.jsgbbb.com	成功收听	383547
http://www.jsgbbb.com	成功收听	362038
http://www.jsgbbb.com	成功收听	383548
http://www.jsgbbb.com	成功收听	383549
http://www.jsgbbb.com	成功收听	383550
http://www.jsgbbb.com	成功收听	383551
http://www.jsgbbb.com	成功收听	383552
http://www.jsgbbb.com	成功收听	66236
http://www.jsgbbb.com	成功收听	82784
http://www.jsgbbb.com	成功收听	383553
http://www.jsgbbb.com	成功收听	383554
http://www.jsgbbb.com	成功收听	383555
http://www.jsgbbb.com	成功收听	383556
http://www.jsgbbb.com	成功收听	382643
http://www.jsgbbb.com	成功收听	379740
http://www.jsgbbb.com	成功收听	383557
http://www.jsgbbb.com	成功收听	383558
http://www.jsgbbb.com	成功收听	383559
http://www.jsgbbb.com	成功收听	383560
http://www.jsgbbb.com	成功收听	383561
http://www.jsgbbb.com	成功收听	305376
http://www.jsgbbb.com	成功收听	383562
http://www.jsgbbb.com	成功收听	310131
http://www.jsgbbb.com	成功收听	382246
http://www.jsgbbb.com	成功收听	383563
http://www.jsgbbb.com	成功收听	383564
http://www.jsgbbb.com	成功收听	83858
http://www.jsgbbb.com	成功收听	260523
http://www.jsgbbb.com	成功收听	383565
http://www.jsgbbb.com	成功收听	383566
http://www.jsgbbb.com	成功收听	383567
http://www.jsgbbb.com	成功收听	383169
http://www.jsgbbb.com	成功收听	382801
http://www.jsgbbb.com	成功收听	383568
http://www.jsgbbb.com	成功收听	260335
http://www.jsgbbb.com	成功收听	383569
http://www.jsgbbb.com	成功收听	383570
http://www.jsgbbb.com	成功收听	383571
http://www.jsgbbb.com	成功收听	383572
http://www.jsgbbb.com	成功收听	382730
http://www.jsgbbb.com	成功收听	125696
http://www.jsgbbb.com	成功收听	383573
http://www.jsgbbb.com	成功收听	383574
http://www.jsgbbb.com	成功收听	383575
http://www.jsgbbb.com	成功收听	383576
http://www.jsgbbb.com	成功收听	379851
http://www.jsgbbb.com	成功收听	383578
http://www.jsgbbb.com	成功收听	383577
http://www.jsgbbb.com	成功收听	261007
http://www.jsgbbb.com	成功收听	383579
http://www.jsgbbb.com	成功收听	383580
http://www.jsgbbb.com	成功收听	383581
http://www.jsgbbb.com	成功收听	311792
http://www.jsgbbb.com	成功收听	382200
http://www.jsgbbb.com	成功收听	383582
http://www.jsgbbb.com	成功收听	383583
http://www.jsgbbb.com	成功收听	36970
http://www.jsgbbb.com	成功收听	383584
http://www.jsgbbb.com	成功收听	382066
http://www.jsgbbb.com	成功收听	331760
http://www.jsgbbb.com	成功收听	380536
http://www.jsgbbb.com	成功收听	383585
http://www.jsgbbb.com	成功收听	383586
http://www.jsgbbb.com	成功收听	383587
http://www.jsgbbb.com	成功收听	383588
http://www.jsgbbb.com	成功收听	383589
http://www.jsgbbb.com	成功收听	380537
http://www.jsgbbb.com	成功收听	383590
http://www.jsgbbb.com	成功收听	380539
http://www.jsgbbb.com	成功收听	380540
http://www.jsgbbb.com	成功收听	383591
http://www.jsgbbb.com	成功收听	383592
http://www.jsgbbb.com	成功收听	383593
http://www.jsgbbb.com	成功收听	380541
http://www.jsgbbb.com	成功收听	380910
http://www.jsgbbb.com	成功收听	380543
http://www.jsgbbb.com	成功收听	78058
http://www.jsgbbb.com	成功收听	380548
http://www.jsgbbb.com	成功收听	383594
http://www.jsgbbb.com	成功收听	383595
http://www.jsgbbb.com	成功收听	380551
http://www.jsgbbb.com	成功收听	383596
http://www.jsgbbb.com	成功收听	383597
http://www.jsgbbb.com	成功收听	383598
http://www.jsgbbb.com	成功收听	383599
http://www.jsgbbb.com	成功收听	383600
http://www.jsgbbb.com	成功收听	365267
http://www.jsgbbb.com	成功收听	380559
http://www.jsgbbb.com	成功收听	383601
http://www.jsgbbb.com	成功收听	380562
http://www.jsgbbb.com	成功收听	383602
http://www.jsgbbb.com	成功收听	380565
http://www.jsgbbb.com	成功收听	380566
http://www.jsgbbb.com	成功收听	380570
http://www.jsgbbb.com	成功收听	383603
