
2018-04-18 11:52:50	http://bbs.beiww.com
http://bbs.beiww.com	管理组：['管理员', '超级版主', '版主']
http://bbs.beiww.com	成功收听	776926
http://bbs.beiww.com	成功收听	716569
http://bbs.beiww.com	成功收听	776960
http://bbs.beiww.com	成功收听	777108
http://bbs.beiww.com	成功收听	799086
http://bbs.beiww.com	成功收听	755875
http://bbs.beiww.com	成功收听	777135
http://bbs.beiww.com	成功收听	755792
http://bbs.beiww.com	成功收听	842624
http://bbs.beiww.com	成功收听	777259
http://bbs.beiww.com	成功收听	842625
http://bbs.beiww.com	成功收听	760796
http://bbs.beiww.com	成功收听	799154
http://bbs.beiww.com	成功收听	777270
http://bbs.beiww.com	成功收听	842626
http://bbs.beiww.com	成功收听	842627
http://bbs.beiww.com	成功收听	131292
http://bbs.beiww.com	成功收听	233299
http://bbs.beiww.com	成功收听	842628
http://bbs.beiww.com	成功收听	756039
http://bbs.beiww.com	成功收听	777340
http://bbs.beiww.com	成功收听	756321
http://bbs.beiww.com	成功收听	777772
http://bbs.beiww.com	成功收听	799436
http://bbs.beiww.com	成功收听	756351
http://bbs.beiww.com	成功收听	777912
http://bbs.beiww.com	成功收听	756278
http://bbs.beiww.com	成功收听	716617
http://bbs.beiww.com	成功收听	842629
http://bbs.beiww.com	成功收听	778100
http://bbs.beiww.com	成功收听	756541
http://bbs.beiww.com	成功收听	799518
http://bbs.beiww.com	成功收听	768289
http://bbs.beiww.com	成功收听	756577
http://bbs.beiww.com	成功收听	652874
http://bbs.beiww.com	成功收听	842631
http://bbs.beiww.com	成功收听	842630
http://bbs.beiww.com	成功收听	756512
http://bbs.beiww.com	成功收听	842632
http://bbs.beiww.com	成功收听	756799
http://bbs.beiww.com	成功收听	778416
http://bbs.beiww.com	成功收听	756826
http://bbs.beiww.com	成功收听	842634
http://bbs.beiww.com	成功收听	842633
http://bbs.beiww.com	成功收听	778566
http://bbs.beiww.com	成功收听	756767
http://bbs.beiww.com	成功收听	778615
http://bbs.beiww.com	成功收听	842635
http://bbs.beiww.com	成功收听	800105
http://bbs.beiww.com	成功收听	778846
http://bbs.beiww.com	成功收听	757237
http://bbs.beiww.com	成功收听	842636
http://bbs.beiww.com	成功收听	237378
http://bbs.beiww.com	成功收听	757271
http://bbs.beiww.com	成功收听	842637
http://bbs.beiww.com	成功收听	842638
http://bbs.beiww.com	成功收听	757185
http://bbs.beiww.com	成功收听	779008
http://bbs.beiww.com	成功收听	757462
http://bbs.beiww.com	成功收听	842639
http://bbs.beiww.com	成功收听	757486
http://bbs.beiww.com	成功收听	842640
http://bbs.beiww.com	成功收听	779200
http://bbs.beiww.com	成功收听	779236
http://bbs.beiww.com	成功收听	233218
http://bbs.beiww.com	成功收听	231631
http://bbs.beiww.com	成功收听	757517
http://bbs.beiww.com	成功收听	842641
http://bbs.beiww.com	成功收听	757444
http://bbs.beiww.com	成功收听	797354
http://bbs.beiww.com	成功收听	800148
http://bbs.beiww.com	成功收听	800363
http://bbs.beiww.com	成功收听	800620
http://bbs.beiww.com	成功收听	800694
http://bbs.beiww.com	成功收听	842642
http://bbs.beiww.com	成功收听	779500
http://bbs.beiww.com	成功收听	787044
http://bbs.beiww.com	成功收听	801604
http://bbs.beiww.com	成功收听	801967
http://bbs.beiww.com	成功收听	801692
http://bbs.beiww.com	成功收听	842643
http://bbs.beiww.com	成功收听	802272
http://bbs.beiww.com	成功收听	779521
http://bbs.beiww.com	成功收听	757738
http://bbs.beiww.com	成功收听	802533
http://bbs.beiww.com	成功收听	804968
http://bbs.beiww.com	成功收听	842644
http://bbs.beiww.com	成功收听	805462
http://bbs.beiww.com	成功收听	779546
http://bbs.beiww.com	成功收听	805526
http://bbs.beiww.com	成功收听	757673
http://bbs.beiww.com	成功收听	805834
http://bbs.beiww.com	成功收听	806504
http://bbs.beiww.com	成功收听	806189
http://bbs.beiww.com	成功收听	806103
http://bbs.beiww.com	成功收听	779661
http://bbs.beiww.com	成功收听	806745
http://bbs.beiww.com	成功收听	842645
http://bbs.beiww.com	成功收听	779928
http://bbs.beiww.com	成功收听	807601
http://bbs.beiww.com	成功收听	807691
http://bbs.beiww.com	成功收听	807645
http://bbs.beiww.com	成功收听	770244
http://bbs.beiww.com	成功收听	807919
http://bbs.beiww.com	成功收听	779962
http://bbs.beiww.com	成功收听	807963
http://bbs.beiww.com	成功收听	808578
http://bbs.beiww.com	成功收听	808344
http://bbs.beiww.com	成功收听	808289
http://bbs.beiww.com	成功收听	842646
http://bbs.beiww.com	成功收听	842647
http://bbs.beiww.com	成功收听	780117
http://bbs.beiww.com	成功收听	759102
http://bbs.beiww.com	成功收听	808932
http://bbs.beiww.com	成功收听	808685
http://bbs.beiww.com	成功收听	808636
http://bbs.beiww.com	成功收听	813800
http://bbs.beiww.com	成功收听	809291
http://bbs.beiww.com	成功收听	809262
http://bbs.beiww.com	成功收听	814375
http://bbs.beiww.com	成功收听	814324
http://bbs.beiww.com	成功收听	842648
http://bbs.beiww.com	成功收听	814975
http://bbs.beiww.com	成功收听	814729
http://bbs.beiww.com	成功收听	814690
http://bbs.beiww.com	成功收听	780334
http://bbs.beiww.com	成功收听	842649
http://bbs.beiww.com	成功收听	814620
http://bbs.beiww.com	成功收听	842650
http://bbs.beiww.com	成功收听	815536
http://bbs.beiww.com	成功收听	780569
http://bbs.beiww.com	成功收听	815320
http://bbs.beiww.com	成功收听	815290
http://bbs.beiww.com	成功收听	815243
http://bbs.beiww.com	成功收听	780388
http://bbs.beiww.com	成功收听	820263
http://bbs.beiww.com	成功收听	820234
http://bbs.beiww.com	成功收听	780620
http://bbs.beiww.com	成功收听	820198
http://bbs.beiww.com	成功收听	819726
http://bbs.beiww.com	成功收听	759416
http://bbs.beiww.com	成功收听	832847
http://bbs.beiww.com	成功收听	820801
http://bbs.beiww.com	成功收听	759447
http://bbs.beiww.com	成功收听	820509
http://bbs.beiww.com	成功收听	780821
http://bbs.beiww.com	成功收听	820465
http://bbs.beiww.com	成功收听	820430
http://bbs.beiww.com	成功收听	821107
http://bbs.beiww.com	成功收听	821067
http://bbs.beiww.com	成功收听	780891
http://bbs.beiww.com	成功收听	820830
http://bbs.beiww.com	成功收听	842651
http://bbs.beiww.com	成功收听	833347
http://bbs.beiww.com	成功收听	821455
http://bbs.beiww.com	成功收听	821428
http://bbs.beiww.com	成功收听	821392
http://bbs.beiww.com	成功收听	759365
http://bbs.beiww.com	成功收听	842652
http://bbs.beiww.com	成功收听	821148
http://bbs.beiww.com	成功收听	767078
http://bbs.beiww.com	成功收听	781624
http://bbs.beiww.com	成功收听	822769
http://bbs.beiww.com	成功收听	822546
http://bbs.beiww.com	成功收听	759655
http://bbs.beiww.com	成功收听	822518
http://bbs.beiww.com	成功收听	822479
http://bbs.beiww.com	成功收听	822246
http://bbs.beiww.com	成功收听	822212
http://bbs.beiww.com	成功收听	822167
http://bbs.beiww.com	成功收听	821738
http://bbs.beiww.com	成功收听	781141
http://bbs.beiww.com	成功收听	823990
http://bbs.beiww.com	成功收听	823942
http://bbs.beiww.com	成功收听	781822
http://bbs.beiww.com	成功收听	823532
http://bbs.beiww.com	成功收听	759597
http://bbs.beiww.com	成功收听	823251
http://bbs.beiww.com	成功收听	842653
http://bbs.beiww.com	成功收听	823202
http://bbs.beiww.com	成功收听	718082
http://bbs.beiww.com	成功收听	822827
http://bbs.beiww.com	成功收听	833660
http://bbs.beiww.com	成功收听	759857
http://bbs.beiww.com	成功收听	842656
http://bbs.beiww.com	成功收听	842655
http://bbs.beiww.com	成功收听	833966
http://bbs.beiww.com	成功收听	782052
http://bbs.beiww.com	成功收听	824668
http://bbs.beiww.com	成功收听	842654
http://bbs.beiww.com	成功收听	834109
http://bbs.beiww.com	成功收听	760135
http://bbs.beiww.com	成功收听	782159
http://bbs.beiww.com	成功收听	782116
http://bbs.beiww.com	成功收听	782417
http://bbs.beiww.com	成功收听	760164
http://bbs.beiww.com	成功收听	842657
http://bbs.beiww.com	成功收听	782356
http://bbs.beiww.com	成功收听	842658
http://bbs.beiww.com	成功收听	782618
http://bbs.beiww.com	成功收听	834338
http://bbs.beiww.com	成功收听	717006
http://bbs.beiww.com	成功收听	782668
http://bbs.beiww.com	成功收听	760104
http://bbs.beiww.com	成功收听	842661
http://bbs.beiww.com	成功收听	760525
http://bbs.beiww.com	成功收听	782842
http://bbs.beiww.com	成功收听	842660
http://bbs.beiww.com	成功收听	842659
http://bbs.beiww.com	成功收听	760494
http://bbs.beiww.com	成功收听	842663
http://bbs.beiww.com	成功收听	842662
http://bbs.beiww.com	成功收听	842664
http://bbs.beiww.com	成功收听	783647
http://bbs.beiww.com	成功收听	760543
http://bbs.beiww.com	成功收听	783388
http://bbs.beiww.com	成功收听	842668
http://bbs.beiww.com	成功收听	842667
http://bbs.beiww.com	成功收听	760958
http://bbs.beiww.com	成功收听	783946
http://bbs.beiww.com	成功收听	842666
http://bbs.beiww.com	成功收听	834706
http://bbs.beiww.com	成功收听	842665
http://bbs.beiww.com	成功收听	783879
http://bbs.beiww.com	成功收听	760966
http://bbs.beiww.com	成功收听	784480
http://bbs.beiww.com	成功收听	835396
http://bbs.beiww.com	成功收听	760933
http://bbs.beiww.com	成功收听	784185
http://bbs.beiww.com	成功收听	842669
http://bbs.beiww.com	成功收听	785168
http://bbs.beiww.com	成功收听	760728
http://bbs.beiww.com	成功收听	787674
http://bbs.beiww.com	成功收听	760920
http://bbs.beiww.com	成功收听	784720
http://bbs.beiww.com	成功收听	842671
http://bbs.beiww.com	成功收听	842670
http://bbs.beiww.com	成功收听	785544
http://bbs.beiww.com	成功收听	842676
http://bbs.beiww.com	成功收听	842675
http://bbs.beiww.com	成功收听	842674
http://bbs.beiww.com	成功收听	760790
http://bbs.beiww.com	成功收听	785450
http://bbs.beiww.com	成功收听	842673
http://bbs.beiww.com	成功收听	785217
http://bbs.beiww.com	成功收听	760750
http://bbs.beiww.com	成功收听	842672
http://bbs.beiww.com	成功收听	835855
http://bbs.beiww.com	成功收听	636260
http://bbs.beiww.com	成功收听	786654
http://bbs.beiww.com	成功收听	762320
http://bbs.beiww.com	成功收听	842682
http://bbs.beiww.com	成功收听	786370
http://bbs.beiww.com	成功收听	842681
http://bbs.beiww.com	成功收听	842680
http://bbs.beiww.com	成功收听	786323
http://bbs.beiww.com	已经收听过了
http://bbs.beiww.com	成功收听	762076
http://bbs.beiww.com	成功收听	786194
http://bbs.beiww.com	成功收听	842679
http://bbs.beiww.com	成功收听	786159
http://bbs.beiww.com	成功收听	842678
http://bbs.beiww.com	成功收听	786022
http://bbs.beiww.com	成功收听	761486
http://bbs.beiww.com	成功收听	842677
http://bbs.beiww.com	成功收听	785986
http://bbs.beiww.com	成功收听	841057
http://bbs.beiww.com	成功收听	761452
http://bbs.beiww.com	成功收听	785773
http://bbs.beiww.com	成功收听	760572
http://bbs.beiww.com	成功收听	792299
http://bbs.beiww.com	成功收听	787991
http://bbs.beiww.com	成功收听	842689
http://bbs.beiww.com	成功收听	842693
http://bbs.beiww.com	成功收听	842691
http://bbs.beiww.com	成功收听	842692
http://bbs.beiww.com	成功收听	787789
http://bbs.beiww.com	成功收听	763588
http://bbs.beiww.com	已经收听过了
http://bbs.beiww.com	成功收听	835503
http://bbs.beiww.com	成功收听	787734
http://bbs.beiww.com	成功收听	787388
http://bbs.beiww.com	成功收听	842690
http://bbs.beiww.com	成功收听	836399
http://bbs.beiww.com	成功收听	787472
http://bbs.beiww.com	成功收听	762510
http://bbs.beiww.com	成功收听	787224
http://bbs.beiww.com	成功收听	842688
http://bbs.beiww.com	成功收听	842687
http://bbs.beiww.com	成功收听	842686
http://bbs.beiww.com	成功收听	787149
http://bbs.beiww.com	成功收听	835512
http://bbs.beiww.com	成功收听	762132
http://bbs.beiww.com	成功收听	786900
http://bbs.beiww.com	成功收听	842685
http://bbs.beiww.com	成功收听	762378
http://bbs.beiww.com	成功收听	842684
http://bbs.beiww.com	成功收听	786809
http://bbs.beiww.com	成功收听	842683
http://bbs.beiww.com	成功收听	842702
http://bbs.beiww.com	成功收听	842701
http://bbs.beiww.com	成功收听	842700
http://bbs.beiww.com	成功收听	790158
http://bbs.beiww.com	成功收听	842699
http://bbs.beiww.com	成功收听	790097
http://bbs.beiww.com	成功收听	789922
http://bbs.beiww.com	成功收听	842698
http://bbs.beiww.com	成功收听	837230
http://bbs.beiww.com	成功收听	842697
http://bbs.beiww.com	成功收听	789878
http://bbs.beiww.com	成功收听	717019
http://bbs.beiww.com	成功收听	842696
http://bbs.beiww.com	成功收听	789685
http://bbs.beiww.com	成功收听	842695
http://bbs.beiww.com	成功收听	842694
http://bbs.beiww.com	成功收听	789628
http://bbs.beiww.com	成功收听	788048
