
2018-05-12 00:00:01	http://www.jiepaids.com
http://www.jiepaids.com	管理组：['管理员', '超级版主', '版主']
http://www.jiepaids.com	成功收听	673424
http://www.jiepaids.com	成功收听	667651
http://www.jiepaids.com	成功收听	670536
http://www.jiepaids.com	成功收听	673425
http://www.jiepaids.com	成功收听	662613
http://www.jiepaids.com	成功收听	621491
http://www.jiepaids.com	成功收听	673426
http://www.jiepaids.com	成功收听	591943
http://www.jiepaids.com	成功收听	603412
http://www.jiepaids.com	成功收听	628852
http://www.jiepaids.com	成功收听	608983
http://www.jiepaids.com	成功收听	610701
http://www.jiepaids.com	成功收听	673427
http://www.jiepaids.com	成功收听	673428
http://www.jiepaids.com	成功收听	666282
http://www.jiepaids.com	成功收听	584548
http://www.jiepaids.com	成功收听	673430
http://www.jiepaids.com	成功收听	673429
http://www.jiepaids.com	成功收听	604718
http://www.jiepaids.com	成功收听	673431
http://www.jiepaids.com	成功收听	673432
http://www.jiepaids.com	成功收听	660746
http://www.jiepaids.com	成功收听	617351
http://www.jiepaids.com	成功收听	673433
http://www.jiepaids.com	成功收听	607303
http://www.jiepaids.com	成功收听	287435
http://www.jiepaids.com	成功收听	673435
http://www.jiepaids.com	成功收听	667423
http://www.jiepaids.com	成功收听	673434
http://www.jiepaids.com	成功收听	673436
http://www.jiepaids.com	成功收听	612845
http://www.jiepaids.com	成功收听	673437
http://www.jiepaids.com	成功收听	624403
http://www.jiepaids.com	成功收听	622903
http://www.jiepaids.com	成功收听	641349
http://www.jiepaids.com	成功收听	673438
http://www.jiepaids.com	成功收听	619955
http://www.jiepaids.com	成功收听	673440
http://www.jiepaids.com	成功收听	673439
http://www.jiepaids.com	成功收听	609157
http://www.jiepaids.com	成功收听	584539
http://www.jiepaids.com	成功收听	673441
http://www.jiepaids.com	成功收听	673442
http://www.jiepaids.com	成功收听	159783
http://www.jiepaids.com	成功收听	650668
http://www.jiepaids.com	成功收听	618726
http://www.jiepaids.com	成功收听	586134
http://www.jiepaids.com	成功收听	673443
http://www.jiepaids.com	成功收听	673444
http://www.jiepaids.com	成功收听	673445
http://www.jiepaids.com	成功收听	673446
http://www.jiepaids.com	成功收听	673447
http://www.jiepaids.com	成功收听	651044
http://www.jiepaids.com	成功收听	655739
http://www.jiepaids.com	成功收听	673448
http://www.jiepaids.com	成功收听	171938
http://www.jiepaids.com	成功收听	614828
http://www.jiepaids.com	成功收听	87189
http://www.jiepaids.com	成功收听	410112
http://www.jiepaids.com	成功收听	628798
http://www.jiepaids.com	成功收听	673449
http://www.jiepaids.com	成功收听	673062
http://www.jiepaids.com	成功收听	673450
http://www.jiepaids.com	成功收听	673451
http://www.jiepaids.com	成功收听	673453
http://www.jiepaids.com	成功收听	673452
http://www.jiepaids.com	成功收听	607215
http://www.jiepaids.com	成功收听	186431
http://www.jiepaids.com	成功收听	649956
http://www.jiepaids.com	成功收听	40270
http://www.jiepaids.com	成功收听	650198
http://www.jiepaids.com	成功收听	673454
http://www.jiepaids.com	成功收听	624273
http://www.jiepaids.com	成功收听	655843
http://www.jiepaids.com	成功收听	673455
http://www.jiepaids.com	成功收听	673456
http://www.jiepaids.com	成功收听	583346
http://www.jiepaids.com	成功收听	673457
http://www.jiepaids.com	成功收听	286125
http://www.jiepaids.com	成功收听	672365
http://www.jiepaids.com	成功收听	673458
http://www.jiepaids.com	成功收听	673459
http://www.jiepaids.com	成功收听	457675
http://www.jiepaids.com	成功收听	673460
http://www.jiepaids.com	成功收听	673461
http://www.jiepaids.com	成功收听	605132
http://www.jiepaids.com	成功收听	673462
http://www.jiepaids.com	成功收听	672557
http://www.jiepaids.com	成功收听	673463
http://www.jiepaids.com	成功收听	648227
http://www.jiepaids.com	成功收听	673464
http://www.jiepaids.com	成功收听	673465
http://www.jiepaids.com	成功收听	630827
http://www.jiepaids.com	成功收听	671007
http://www.jiepaids.com	成功收听	585519
http://www.jiepaids.com	成功收听	605851
http://www.jiepaids.com	成功收听	673466
http://www.jiepaids.com	成功收听	605885
http://www.jiepaids.com	成功收听	673467
http://www.jiepaids.com	成功收听	673468
http://www.jiepaids.com	成功收听	639622
http://www.jiepaids.com	成功收听	55600
http://www.jiepaids.com	成功收听	670941
http://www.jiepaids.com	成功收听	673469
http://www.jiepaids.com	成功收听	644228
http://www.jiepaids.com	成功收听	670697
http://www.jiepaids.com	成功收听	673470
http://www.jiepaids.com	成功收听	52427
http://www.jiepaids.com	成功收听	625224
http://www.jiepaids.com	成功收听	673471
http://www.jiepaids.com	成功收听	605282
http://www.jiepaids.com	成功收听	673472
http://www.jiepaids.com	成功收听	606855
http://www.jiepaids.com	成功收听	673473
http://www.jiepaids.com	成功收听	595246
http://www.jiepaids.com	成功收听	673474
http://www.jiepaids.com	成功收听	673475
http://www.jiepaids.com	成功收听	620500
http://www.jiepaids.com	成功收听	673476
http://www.jiepaids.com	成功收听	673477
http://www.jiepaids.com	成功收听	673478
http://www.jiepaids.com	成功收听	620666
http://www.jiepaids.com	成功收听	673479
http://www.jiepaids.com	成功收听	673480
http://www.jiepaids.com	成功收听	673481
http://www.jiepaids.com	成功收听	637402
http://www.jiepaids.com	成功收听	367883
http://www.jiepaids.com	成功收听	673482
http://www.jiepaids.com	成功收听	671893
http://www.jiepaids.com	成功收听	671326
http://www.jiepaids.com	成功收听	673483
http://www.jiepaids.com	成功收听	615658
http://www.jiepaids.com	成功收听	668518
http://www.jiepaids.com	成功收听	398919
http://www.jiepaids.com	成功收听	673484
http://www.jiepaids.com	成功收听	584593
http://www.jiepaids.com	成功收听	673485
http://www.jiepaids.com	成功收听	584894
http://www.jiepaids.com	成功收听	673486
http://www.jiepaids.com	成功收听	668782
http://www.jiepaids.com	成功收听	673487
http://www.jiepaids.com	成功收听	597208
http://www.jiepaids.com	成功收听	610799
http://www.jiepaids.com	成功收听	604833
http://www.jiepaids.com	成功收听	606490
http://www.jiepaids.com	成功收听	646468
http://www.jiepaids.com	成功收听	4380
http://www.jiepaids.com	成功收听	673488
http://www.jiepaids.com	成功收听	661136
http://www.jiepaids.com	成功收听	575431
http://www.jiepaids.com	成功收听	673489
http://www.jiepaids.com	成功收听	367297
http://www.jiepaids.com	成功收听	662041
http://www.jiepaids.com	成功收听	602685
http://www.jiepaids.com	成功收听	624065
http://www.jiepaids.com	成功收听	673490
http://www.jiepaids.com	成功收听	669269
http://www.jiepaids.com	成功收听	177331
http://www.jiepaids.com	成功收听	673491
http://www.jiepaids.com	成功收听	670660
http://www.jiepaids.com	成功收听	596529
http://www.jiepaids.com	成功收听	673492
http://www.jiepaids.com	成功收听	659829
http://www.jiepaids.com	成功收听	673493
http://www.jiepaids.com	成功收听	672119
http://www.jiepaids.com	成功收听	392797
http://www.jiepaids.com	成功收听	63913
http://www.jiepaids.com	成功收听	599984
http://www.jiepaids.com	成功收听	673494
http://www.jiepaids.com	成功收听	661533
http://www.jiepaids.com	成功收听	646543
http://www.jiepaids.com	成功收听	663271
http://www.jiepaids.com	成功收听	580584
http://www.jiepaids.com	成功收听	533855
http://www.jiepaids.com	成功收听	644246
http://www.jiepaids.com	成功收听	124778
http://www.jiepaids.com	成功收听	624634
http://www.jiepaids.com	成功收听	55024
http://www.jiepaids.com	成功收听	673495
http://www.jiepaids.com	成功收听	642982
http://www.jiepaids.com	成功收听	617328
http://www.jiepaids.com	成功收听	177313
http://www.jiepaids.com	成功收听	612701
http://www.jiepaids.com	成功收听	614750
http://www.jiepaids.com	成功收听	673496
http://www.jiepaids.com	成功收听	673497
http://www.jiepaids.com	成功收听	605632
http://www.jiepaids.com	成功收听	623030
http://www.jiepaids.com	成功收听	673498
http://www.jiepaids.com	成功收听	604407
http://www.jiepaids.com	成功收听	607563
http://www.jiepaids.com	成功收听	673499
http://www.jiepaids.com	成功收听	626741
http://www.jiepaids.com	成功收听	662219
http://www.jiepaids.com	成功收听	584778
http://www.jiepaids.com	成功收听	617245
http://www.jiepaids.com	成功收听	673500
http://www.jiepaids.com	成功收听	673501
http://www.jiepaids.com	成功收听	673502
http://www.jiepaids.com	成功收听	90763
http://www.jiepaids.com	成功收听	673503
http://www.jiepaids.com	成功收听	194520
http://www.jiepaids.com	成功收听	647708
http://www.jiepaids.com	成功收听	673504
http://www.jiepaids.com	成功收听	644843
http://www.jiepaids.com	成功收听	673505
http://www.jiepaids.com	成功收听	640231
http://www.jiepaids.com	成功收听	669975
http://www.jiepaids.com	成功收听	673506
http://www.jiepaids.com	成功收听	331622
http://www.jiepaids.com	成功收听	673507
http://www.jiepaids.com	成功收听	583696
http://www.jiepaids.com	成功收听	606994
http://www.jiepaids.com	成功收听	673509
http://www.jiepaids.com	成功收听	673508
http://www.jiepaids.com	成功收听	273106
http://www.jiepaids.com	成功收听	673510
http://www.jiepaids.com	成功收听	673511
http://www.jiepaids.com	成功收听	454627
http://www.jiepaids.com	成功收听	673512
http://www.jiepaids.com	成功收听	673513
http://www.jiepaids.com	成功收听	673514
http://www.jiepaids.com	成功收听	628289
http://www.jiepaids.com	成功收听	611006
http://www.jiepaids.com	成功收听	673515
http://www.jiepaids.com	成功收听	673516
http://www.jiepaids.com	成功收听	605412
http://www.jiepaids.com	成功收听	673517
http://www.jiepaids.com	成功收听	673518
http://www.jiepaids.com	成功收听	590782
http://www.jiepaids.com	成功收听	673519
http://www.jiepaids.com	成功收听	586270
