
2018-05-12 00:06:49	http://zanghua123.xyz
http://zanghua123.xyz	管理组：['管理员', '总版主', '版主', '实习版主', '人事部', '查水员', '荣誉超版', '分区超版']
http://zanghua123.xyz	45908	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	50348
http://zanghua123.xyz	50348	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	43832
http://zanghua123.xyz	43832	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68302
http://zanghua123.xyz	68302	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	63259
http://zanghua123.xyz	63259	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	24543
http://zanghua123.xyz	24543	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68414
http://zanghua123.xyz	68414	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	9750	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65028
http://zanghua123.xyz	65028	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	62556
http://zanghua123.xyz	62556	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	59892
http://zanghua123.xyz	59892	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68315
http://zanghua123.xyz	68315	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	44228
http://zanghua123.xyz	44228	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	50051
http://zanghua123.xyz	50051	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	22682
http://zanghua123.xyz	22682	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	55180
http://zanghua123.xyz	55180	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	62969
http://zanghua123.xyz	62969	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	62840
http://zanghua123.xyz	62840	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	56375
http://zanghua123.xyz	56375	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	2655
http://zanghua123.xyz	2655	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	48010
http://zanghua123.xyz	48010	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	48010	正在等待验证
http://zanghua123.xyz	成功收听	31130
http://zanghua123.xyz	31130	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	59838
http://zanghua123.xyz	59838	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	34057
http://zanghua123.xyz	34057	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	1023
http://zanghua123.xyz	1023	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	44978
http://zanghua123.xyz	44978	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69339
http://zanghua123.xyz	69339	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	9069
http://zanghua123.xyz	9069	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	15527
http://zanghua123.xyz	15527	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69334
http://zanghua123.xyz	69334	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	46569
http://zanghua123.xyz	46569	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	28565
http://zanghua123.xyz	28565	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	54092
http://zanghua123.xyz	54092	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	29844
http://zanghua123.xyz	29844	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68746
http://zanghua123.xyz	68746	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	47186
http://zanghua123.xyz	47186	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	54112
http://zanghua123.xyz	54112	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65874
http://zanghua123.xyz	65874	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	2486
http://zanghua123.xyz	2486	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	46770
http://zanghua123.xyz	46770	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69337
http://zanghua123.xyz	69337	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	58469	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	45381
http://zanghua123.xyz	45381	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	67822
http://zanghua123.xyz	67822	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	10637
http://zanghua123.xyz	10637	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	62806
http://zanghua123.xyz	62806	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	63414
http://zanghua123.xyz	63414	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68066
http://zanghua123.xyz	68066	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	63437
http://zanghua123.xyz	63437	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69345
http://zanghua123.xyz	69345	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69354
http://zanghua123.xyz	69354	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	54085
http://zanghua123.xyz	54085	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	4137
http://zanghua123.xyz	4137	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69348
http://zanghua123.xyz	69348	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	41074
http://zanghua123.xyz	41074	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	67832
http://zanghua123.xyz	67832	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	67494	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	57520
http://zanghua123.xyz	57520	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	36397
http://zanghua123.xyz	36397	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	60015
http://zanghua123.xyz	60015	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	40195
http://zanghua123.xyz	40195	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69347
http://zanghua123.xyz	69347	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	69345	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	54085	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	41074	正在等待验证
http://zanghua123.xyz	成功收听	67494
http://zanghua123.xyz	67494	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	57520	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	36397	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	60015	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	40195	正在等待验证
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	69347	正在等待验证
http://zanghua123.xyz	成功收听	69322
http://zanghua123.xyz	69322	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	66993
http://zanghua123.xyz	66993	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68695
http://zanghua123.xyz	68695	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	35429
http://zanghua123.xyz	35429	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	55258
http://zanghua123.xyz	55258	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	47641
http://zanghua123.xyz	47641	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	10709
http://zanghua123.xyz	10709	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65339
http://zanghua123.xyz	65339	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69349
http://zanghua123.xyz	69349	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	12723
http://zanghua123.xyz	12723	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	18290
http://zanghua123.xyz	18290	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	34050
http://zanghua123.xyz	34050	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	43280
http://zanghua123.xyz	43280	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	69316	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68511
http://zanghua123.xyz	68511	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	30911
http://zanghua123.xyz	30911	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	10306
http://zanghua123.xyz	10306	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	67558
http://zanghua123.xyz	67558	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	26878
http://zanghua123.xyz	26878	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	24359
http://zanghua123.xyz	24359	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	54513
http://zanghua123.xyz	54513	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	39858
http://zanghua123.xyz	39858	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69351
http://zanghua123.xyz	69351	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69352
http://zanghua123.xyz	69352	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	17705
http://zanghua123.xyz	17705	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65813
http://zanghua123.xyz	65813	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	28439
http://zanghua123.xyz	28439	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	14971
http://zanghua123.xyz	14971	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	50200
http://zanghua123.xyz	50200	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69350
http://zanghua123.xyz	69350	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	56402
http://zanghua123.xyz	56402	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	8812
http://zanghua123.xyz	8812	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	57321
http://zanghua123.xyz	57321	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	63406
http://zanghua123.xyz	63406	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	49335
http://zanghua123.xyz	49335	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	34664
http://zanghua123.xyz	34664	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69346
http://zanghua123.xyz	69346	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65292
http://zanghua123.xyz	65292	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	5393
http://zanghua123.xyz	5393	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	已经收听过了
http://zanghua123.xyz	5393	正在等待验证
http://zanghua123.xyz	成功收听	47672
http://zanghua123.xyz	47672	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	27564
http://zanghua123.xyz	27564	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	65062
http://zanghua123.xyz	65062	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	2137
http://zanghua123.xyz	2137	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	69150
http://zanghua123.xyz	69150	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	68774
http://zanghua123.xyz	68774	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://zanghua123.xyz	成功收听	59349
